######################################
# Bloody Rally Show translations file 
# Locale: Dutch
# Translator: Danny Houtworm
# Contact: Translations@Houtworm.net
######################################

######################################
# What should not be modified:
# 1. Anything inside < > brackets - these are special text formatting tags
# 2. Anything inside { } brackets - these are variables that will be replaced
#
# Do not remove {0} and similar variables - it can cause in-game errors!
#
# There is one exception to the rule above. When {0} is a curse adjective or adverb (friggin, etc)
# And it is stated so in the example, if your language cannot combine them well, you can try ommitting {0}
# In this case, but if there is more than one variable ({0}, {1}), you cannot remove {0} and leave {1}!
# You can remove the last variable ({1}) in this case, to keep the variable sequence running from {0}
# (only if {1} is a curse adjective / adverb)
#
# <br> is a line break
#
# It is highly recommended to keep every single key in same exact line as English - copy all the comments and blank lines
######################################

# Characters

# If you change any character names, you have to consistently keep using them
# Across all the translations where they are mentioned. Also in Tips.txt
# For this reason I suggest to keep names of Brace Stone and Nicolas Merryland 
# unchanged. Anonymous racer only appears in introduction cutscene.

char.brace.name,Bert Bruut
settings.video.btn.set_optimal_tip,Dit zal de aanbevolen resolutie en kwaliteit voor jouw computer instellen.

# Settings -> Visuals

settings.visuals.ui_scale,Interface schaal
settings.visuals.ui_scale_tip,Dit schaalt alle zichtbare elementen
settings.visuals.speed_units,Eenheid
settings.visuals.show_blood,Bloed
settings.visuals.show_racer_names,Racer namen
settings.visuals.show_tire_trails,Bandensporen
settings.visuals.show_brake_lights,Remlichten
settings.visuals.show_clouds,Wolken
settings.visuals.show_weather_effects,Weer Effecten
settings.visuals.show_car_smoke,Auto Rook
settings.visuals.show_controls,Weergeef Besturing
settings.visuals.show_in_race_rankings,Ranglijst tijdens de race
settings.visuals.dynamic_backgrounds,Dynamische Achtergrond
settings.visuals.dynamic_backgrounds.tip,Voor Campagne en Aangepaste Race
settings.visuals.reduce_particles,Verminder deeltjes voor meer zicht
settings.visuals.post_processing,Naverwerking
settings.visuals.minimap_size,Mini Kaart Grootte
settings.visuals.minimap_size.off,Uit
settings.visuals.minimap_size.regular,Normaal
settings.visuals.minimap_size.large,Groot
settings.visuals.minimap_size.enormous,Gigantisch
settings.visuals.minimap_pos,Mini Kaart Positie
settings.visuals.minimap_pos.top_left,Linksboven
settings.visuals.minimap_pos.bottom_right,Rechtsonder
settings.visuals.minimap_pos.top,Boven
settings.visuals.minimap_pos.right,Rechts

# Settings -> Gameplay

settings.gameplay.show_tips,Hints
# FOR TRANSLATORS: Please translate as "Show Cutscenes (English Only)"
settings.gameplay.show_cutscenes,Filmpjes
settings.gameplay.show_speech_bubbles,Tekstwolkjes
settings.gameplay.enable_censorship,Censuur scheldwoorden
settings.gameplay.peds_take_screenshots,Voetgangers nemen schermafdrukken
settings.gameplay.post_to_discord,Deel op Discord
settings.gameplay.camera_type,Camera
settings.gameplay.camera_type.fixed_road,Fixeer Weg
settings.gameplay.camera_type.fixed_car,Fixeer Auto
settings.gameplay.camera_type.fixed_person,Fixeer Persoon
settings.gameplay.camera_type.floating,Zwevend
settings.gameplay.camera_zoom,Camera Afstand
settings.gameplay.camera_zoom.near,Dichtbij
settings.gameplay.camera_zoom.medium,Normaal
settings.gameplay.camera_zoom.far,Ver
settings.gameplay.speed_autozoom,Dynamische Camera Afstand
settings.gameplay.speed_autozoom_tip,Past de Camera Afstand automatisch aan op basis van je snelheid
settings.gameplay.camera_shake,Beeldschudden
settings.gameplay.camera_shake.full,Volledig
settings.gameplay.camera_shake.light,Licht
settings.gameplay.camera_shake.off,Uit
settings.gameplay.vibration,Vibratie
settings.gameplay.run_in_background,Houd actief in de achtergrond
settings.gameplay.auto_lock_mouse,Automatisch muis grijpen
settings.gameplay.auto_lock_mouse_tip,Als je meerdere monitors hebt en graag wil multitasken dan moet je muis grijpen uitschaakelen, Een herstart is nodig om de wijziging door te voeren.

# Settings -> Audio

settings.audio.master_volume,Hoofdvolume
settings.audio.menu_sounds,Menu Geluiden
settings.audio.menu_music,Menu Muziek
settings.audio.editor_music,Editor Muziek
settings.audio.race_music,Race Muziek
settings.audio.car_engine,Motorgeluiden
settings.audio.tire_skid,Piepende Banden
settings.audio.crowd_noise,Publiek Geluiden
settings.audio.sound_fx,Geluidseffecten
settings.audio.btn.reset_to_defaults,Resetten naar staandaard

# Settings -> Reset

settings.reset.btn.full_reset,Volledig Resetten
settings.reset.btn.reset_tips,Hints Resetten

# FOR TRASLATORS: Be very careful to not change text inside brackets (<br>, <size=50%> and such). It is one long line
settings.reset.about,Een volledige reset zal:<br><indent=10%><size=70%><br> - Alle Campagnes verwijderen<br> - Alle autos op slot zetten<br> - Het spel direct sluiten<br> <indent=0%><size=100%><br> Een volledige reset behoud wel alle:<br> <indent=10%><size=70%><br> - Prestaties<br> - Ranglijsten <br> - Eigen Autos en Circuits

# Main Menu button tooltips

main_menu.btn.tooltip.homepage,Kodo Linija Website
main_menu.btn.tooltip.newsletter,Ontwikkelaars Nieuwsbrief
main_menu.btn.tooltip.dev_msg,Een bericht van de ontwikkelaar
main_menu.btn.tooltip.campaign,Verhaal modes met procedureel gegenereerde circuits, speel om nieuwe autos vrij te spelen!
main_menu.btn.tooltip.race,Een snelle Race, Gevecht of klim in de ranglijsten met Tijdsaanval modus
main_menu.btn.tooltip.editors,Download Autos en Circuits gemaakt door andere spelers of maak en deel je eigen
main_menu.btn.tooltip.daily_challenge,Ga de strijd aan met andere spelers voor de beste dagelijkse rondetijden
main_menu.btn.tooltip.leaderboards,Glorie wacht op degene die in de top 100 terecht komen
main_menu.btn.tooltip.achievements,Verzamel ze allemaal
main_menu.btn.tooltip.quit.0,Neee! Nog niet hier klikken! Het is de laatste optie voor een reden!
main_menu.btn.tooltip.quit.1,Wacht, Alsjeblieft, We kunnen dit bespreken!
main_menu.btn.tooltip.quit.2,Misschien nog 1 race?
main_menu.btn.tooltip.quit.3,Weet je het zeker? Andere dingen wachten wel...
main_menu.btn.tooltip.quit.4,Elke keer als je op deze knop klikt knipt een kabouter een draadje door in je auto, We maken geen grapje!
main_menu.btn.tooltip.quit.5,Als je hier klikt zal SOFACT je wel vergeven, Maar vergeten doen ze niet.
main_menu.btn.tooltip.quit.6,Klik hier om de zelfvernietigingsprocedure van je computer te starten.
main_menu.btn.tooltip.quit.7,Waarom heb je deze knop geselecteerd? Er zijn zoveel andere knoppen!
main_menu.btn.tooltip.quit.8,We houden je kat gegijzeld, Als je op deze knop klikt dan voeren we hem jouw lasagne!
main_menu.btn.tooltip.quit.9,Meen je dat serieus? Heb je een leven?

# About

about.btn.credits,Dank Aan
about.btn.how_to_play,Hoe te Spelen
about.btn.newsletter,Nieuwsbrief
about.btn.version,Versie
about.btn.privacy,Privacy

# Version Check

version.updates_available,Updates Beschikbaar
version.loading_now,Laden van uitgavenotities:<br>{0}
version.up_to_date,Reeds Nieuwste Versie
version.latest,Laatste Versie: {0}
version.current,Deze Versie: {0}
version.check_failed,Kon niet controleren op updates
version.check_failed_details,Kon geen versieinformatie of uitgavenotities verkrijgen.<br><br>Er is geen netwerk verbinding, zit achter een firewall of de server is offline.<br><br>link:<br>{0}<br><br>Fout Details:<br>{1}
version.changelog_download_fail,Er is een nieuwe versie beschikbaar.<br><br>Het downloaden van de uitgavenotities is alleen niet gelukt.<br><br>Link:<br>{0}<br><br>Fout Details:<br>{1}
version.no_changes,Geen veranderingen of uitgavenotities niet bijgewerkt.
version.new_changes,Nieuwe Aanpassingen: {0}

################################################################################

# Campaign
campaign.play_time,Speeltijd: {0}

# Add Racer Menu

new_racer.title,Registreer Nieuwe Racer
new_racer.edit_title,Pas Profiel Aan
new_racer.racer_name,Naam Racer
new_racer.your_name,Jouw Naam
new_racer.voice_pitch,Stem Toon
new_racer.controlled_by,Bestuurd Door
new_racer.ai_skill,AI Moeilijkheidsgraad
new_racer.choose_avatar,Kies Foto
new_racer.voice.low,{0:0}% Laag
new_racer.voice.high,{0:0}% Hoog
new_racer.voice.mid,Gemiddeld
new_racer.register,Registreer
new_racer.dialogue.name_required,Naam is niet optioneel!
new_racer.dialogue.name_taken,De naam {0} is al in gebruik door een andere racer!
new_racer.dialogue.confirm_remove,Weet je zeker dat je wil verwijderen? {0}?

# Select Avatar Menu

select_avatar.title,Selecteer Foto

# Racer List Menu

season_lineup.title,Seizoen Opstelling
season_lineup.begin_season,Begin Seizoen

# Generation Notice

gen.generating,Geduld aub...<br>Genereren
gen.loading,Geduld aub...<br>Laden

# Campaign Dashboard

dash.garage,Garage
dash.no_car_warning,Je hebt nog geen auto!
dash.btn.buy_car,Koop een auto
dash.end_campaign,Beeindig Campagne 
dash.end_season,Beeindig Seizoen
dash.end_season.tip,Ga door naar het volgende seizoen
dash.advance_week,Volgende
dash.advance_week.tip,Ga verder naar de volgende week
dash.view_season,Bekijk Seizoen
dash.view_season.tip,Wissel tussen de Week en Seizoen ranglijsten
dash.press_x_to_select,Druk op {0} om te selecteren
dash.flip_track_card.tip,Draai de kaart om
dash.btn.walk_on_foot,Speel als Voetganger
dash.btn.walk_on_foot.tip,Speel dit evenement als een voetganger (gevaarlijk!)
dash.btn.save_track.tip,Sla het circuit op voor later gebruik
dash.btn.regenerate.tip,Hergenereerd het circuit als het je niks lijkt
# Verb
dash.btn.do_race,Race
dash.btn.do_retry,Herstart
dash.give_5k,Geef $5000

# Keep short - abbreviate if necessary
dash.stage01,Stage 01
dash.stage02,Stage 02
dash.stage03,Stage 03
dash.stage04,Stage 04
dash.stage05,Stage 05

# Keep short - abbreviate if necessary
dash.week1,Week 1
dash.week2,Week 2
dash.week3,Week 3
dash.week4,Week 4
dash.week5,Week 5
dash.week6,Week 6
dash.week7,Week 7

dash.stage_rewards,Stage Beloning
dash.season_rewards,Seizoen Beloning
dash.next_season,Volgende Seizoen
dash.game_over,Geef Op
dash.buy_freedom,Koop je vrijheid<br><size=75%>${0}</size>
dash.players,Spelers
# It will be in a button, so could be just "All"
dash.all_racers,Alle Racers

dash.maxed_out,Ultiem
dash.req_lvl_short,Bnd lvl: {0}

dash.tip.add_1_lap,plus 1 ronde
dash.tip.add_5_laps,plus 5 rondes
dash.tip.reduce_1_lap,min 1 ronde
dash.tip.reduce_5_laps,min 5 rondes

dash.tip.workshop_item,Workshop Item
dash.tip.rand_time_attack,Willekeurige Tijdsaanval
dash.tip.rand_race,Willekeurige snelle race op een uniek proceduraal gegenereerd circuit
dash.tip.rand_battle,Willekeurig Auto Gevecht met computergestuurde tegenstanders in een procedurael gegenereerde locatie
dash.tip.mark_tips_unseen,Zal alle hints als ongelezen markeren
dash.tip.campaign_name_entry,Gebruik je toetsenbord of klik op de willekeurig maken knop
dash.tip.cloud_shadows_visible,Wolk schaduwen zullen nog steeds zichtbaar zijn
dash.tip.not_affect_split_minimap,Deze instelling verandert niks aan de split scherm mini kaart
dash.tip.censorship,Laat #%$! in plaats van schuttingstaal.
dash.tip.discord_post,Deel je ranglijst posities en geuploade mods naar de officiele BRS Discord
dash.tip.upgrade_available,Verbetering beschikbaar
dash.tip.voice_pitch_slider,Past de stemtoon aan in filmpjes
dash.tip.file_on_computer,Kies een bestand op je computer
dash.tip.player_num,Speler {0}
dash.tip.ai_skill,Vaardigheid: {0:0}%
dash.tip.car_sprites_white,Wanneer je sprites aanpast, Houd de autokleur wit. Lak is niet afhankelijk van de auto.
dash.tip.upload_car,Uploaden naar de Steam Workshop. Wees zeker dat je de correcte maximale snelheid hebt ingesteld voor het uploaden!
dash.tip.reload_car,Klik hier als nadat je de sprites hebt aangepast in een ander programma.
dash.tip.speed_index,Test voor een prestatie rapport
dash.tip.leaderboard_eligible,Dit circuit is geschikt voor de ranglijsten
dash.tip.ghost_replay_available,Spook herhaling beschikbaar
dash.tip.add_racer_btn,Voeg RacerToe (Mens of CPU)
dash.tip.show_track_leaderboards,Weergeef Ranglijsten
dash.tip.new_race_session,Start een nieuwe race sessie
dash.tip.race_weapons,Voeg wapen zones toe aan het circuit
dash.tip.0_racers,Verwijder alle racers behalve de speler
dash.tip.add_1_rnd_racer,Voeg 1 willekeurige racer toe
dash.tip.add_10_rnd_racers,Voeg 10 willekeurige racers toe
dash.tip.rnd_gen_btn,Zal een circuit genereren

# Custom Race Dash

dash.set_for_everyone,Zet voor iedereen
dash.car,Auto
dash.racers,Racers
dash.search_for_track,Zoek naar circuit
dash.randomize_prompt,Klik "Genereer"<br>Om wat circuits te genereren
dash.race_options,Race Opties
dash.race_mode,Race Modus
dash.demo_mode,Demo Modus
dash.demo_mode.tip,Een AI zal racen voor de speler
dash.opponent_skill,Computergestuurde Racer Vaardigheid
dash.start_race,Start Race
dash.race_in_x,Race in {0}
dash.battle_in_x,Gevecht in {0}
dash.time_attack_in_x,Tijdsaanval in {0}
dash.x_to_select,{0} Om te kiezen
dash.add_player,Voeg Speler Toe
dash.tracks_full_screen.tip,Schakel Volledig Scherm in en uit

# Rewards

rew.car_unlock,Auto Vrijgespeeld: {0}
rew.total_pts,Totaal Punten
rew.dmg_taken,Schade Geleden
rew.dmg_given,Schade Gegeven
rew.unused_nitro,Ongebruikte Lachgas
rew.corner_cut,Bochten Afsnijden
rew.good_photos,Kwaliteitsfotos Gemaak
rew.close_calls,Bijna Raak
rew.survival_bonus,Overlevingsbonus
rew.place,{0} Plaats
rew.dnf,Niet Gefinished
rew.pts,{0} Punten
rew.ch.unknown,Onbekende Uitdaging
rew.ch.success,SUCCES: {0}
rew.ch.fail,FAAL: {0}
rew.lethal,Dodelijke Ongelukken
rew.most_lethal,Meeste Dodelijke Ongelukken
rew.frags,Autos Uitgeschakeld
rew.jumps,Schans Sprongen
rew.longest_jump,Verste Sprong
rew.drifts,Aantal Drifts
# Personal
rew.longest_drift,Langste Drift
rew.most_drifts,Meeste Drifts
# Among everyone
rew.most_longest_drift,Langste Drift
rew.level_up,Niveau Omhoog
rew.aero_up,Aerodynamica Verbetering Vrijgespeeld
rew.engine_up,Motor Verbetering Vrijgespeeld
rew.turbo_up,Turbo Verbetering Vrijgespeeld
rew.gears_up,Versnellingsbak Verbetering Vrijgespeeld
rew.grip_up,Banden Verbetering Vrijgespeeld
rew.level_x,Niveau {0}
rew.paint_jobs,Nieuw Lakwerk

# Car Stats

# Keep these very short! Max 10 characters!
car.stat.speed_idx,Index
car.stat.top_speed,Snelheid
car.stat.power,Kracht
car.stat.mass,Gewicht
car.stat.health,Durabel
car.stat.steering,Sturen
car.stat.grip,Grip
car.stat.shift_time,Schakelen

# Car Upgrades

# Short version
car.upgrade.engine,Motor
car.upgrade.turbo,Turbo
car.upgrade.gears,Bak
car.upgrade.aero,Aero
car.upgrade.grip,Banden

car.upgrade.engine.title,Motor Verbetering
car.upgrade.turbo.title,Turbolader Verbetering
car.upgrade.gears.title,Schakelbak Verbetering
car.upgrade.aero.title,Aerodynamica Verbetering
car.upgrade.grip.title,Grip & Controle Verbetering

car.upgrade.engine.tip,Voegt Rauwe kracht toe aan je Motor
car.upgrade.turbo.tip,Laat de auto sneller accellereren
car.upgrade.gears.tip,Vermindert de tijd nodig om te schakelen
car.upgrade.aero.tip,Verhoogt de Topsnelheid en Grip
car.upgrade.grip.tip,Verbetert de Grip en Wegligging

# Racer Profile

racer.last_races,Laatste Races
racer.no_data,Geen Informatie
racer.level,Racer Niveau
racer.races_attempted,Races Gespeeld
racer.races_won,Races Gewonnen
racer.peds_hit,Voetgangers Geraakt
racer.times_drifted,Aantal Drifts

racer.title.rookie,Beginner
racer.title.semi_pro,Amateur
racer.title.pro,Professioneel
racer.title.veteran,Veteraan
racer.title.master,Meester
racer.title.grand_master,Grootmeester
racer.title.legend,Legendarisch
racer.title.epic,Fenomenaal

# Car Paint

paint.main_color,Basiskleur
paint.layer1,Verflaag 1
paint.layer2,Verflaag 2
paint.select_pattern,Selecteer Patroon
paint.change_color,Verander Kleur
paint.rotate_left,Roteer Links
paint.rotate_right,Roteer Rechts
paint.zoom_out,Zoom Uit
paint.zoom_in,Zoom In
paint.reduce_opacity,Verminder Transparantie
paint.increase_opacity,Verhoog Transparantie
paint.move,Verplaats
paint.remove_paint_layer,Verwijder Verflaag
paint.open_custom_folder,Blader je computer voor je eigen Lakwerk

# Pedestrian Mode

ped.close_calls,Bijna Raak
ped.photos,Foto's
ped.good_photos,Goede Foto's
ped.earned_cash,Geld Verdiend

# Race mode

race.paused.by,{0} Heeft op Pauze gedrukt
race.you_have_a_challenge,Je hebt een Uitdaging
race.btn.exit,Verlaat Race
race.btn.exit_desktop,Sluit het Spel af
race.btn.restart,Herstart
race.btn.photo_mode,Foto Modus
race.btn.speed_up,Versnel
race.btn.end,Beeindig Race
race.finished,Eindstreep Bereikt
race.waiting,Wachten ({0:0}s)

# Battle mode

battle.finished,Gevecht Afgelopen

# Input Actions

act.UIHorizontal,Horizontale Navigatie
act.UIVertical,Verticale Navigatie
act.UISubmit,Bevestig
act.UICancel,Annuleer
act.ShowTutorial,Vergeef Hint
act.UICycleNext,Volgende Knop
act.UICyclePrev,Vorige Knop
act.UIPlayerNext,Volgende Speler
act.UIPlayerPrev,Vorige Speler

act.Steer,Sturen
act.Accelerate,Accelereren
act.Brake,Remmen
act.Pause,Pauze
act.Camera,Wissel Camera
act.Handbrake,Handrem
act.ResetCar,Herplaats Auto
act.Zoom,Wissel Camera Afstand
act.Nitro,Lachgas
