######################################
# Bloody Rally Show translations file 
# Locale: English
# Author: Tomas Varaneckas
# Contact: tomas@kodolinija.com
######################################

######################################
# What should not be modified:
# 1. Anything inside < > brackets - these are special text formatting tags
# 2. Anything inside { } brackets - these are variables that will be replaced
#
# Do not remove {0} and similar variables - it can cause in-game errors!
#
# There is one exception to the rule above. When {0} is a curse adjective or adverb (friggin, etc)
# And it is stated so in the example, if your language cannot combine them well, you can try ommitting {0}
# In this case, but if there is more than one variable ({0}, {1}), you cannot remove {0} and leave {1}!
# You can remove the last variable ({1}) in this case, to keep the variable sequence running from {0}
# (only if {1} is a curse adjective / adverb)
#
# <br> is a line break
#
# It is highly recommended to keep every single key in same exact line as English - copy all the comments and blank lines
######################################

# Characters

# If you change any character names, you have to consistently keep using them
# Across all the translations where they are mentioned. Also in Tips.txt
# For this reason I suggest to keep names of Brace Stone and Nicholas Merryland 
# unchanged. Anonymous racer only appears in introduction cutscene.

char.brace.name,Brace Stone
term.pos,Pos
# Noun - number of people killed (keep short, abbreviate if necessary)
term.kills,Kills
# Noun - number of cars fragged (reference to Quake). Keep as "Frags" in your alphabet. Max 5 characters.
term.frags,Frags
term.damage,Damage
# Short from "damage", Keep "dmg" if you cannot get this to less than 6 characters.
term.dmg,Dmg
term.racer,Racer
term.ped,Pedestrian
term.he,he
term.she,she
term.mr,Mr.
# Ms is between Miss and Mrs 
term.ms,Ms.
term.resurrect,Resurrect
term.progress,Progress
term.attempt,Attempt
term.tips,Tips
term.difficulty,Difficulty

# Generic buttons (keep short)

btn.back,Back
btn.continue,Continue
btn.apply,Apply
btn.close,Close
btn.refresh,Refresh
btn.random,Random
btn.randomize,Randomize
btn.main_menu,Main Menu
btn.save,Save
btn.cancel,Cancel
btn.delete,Delete
btn.edit,Edit
btn.garage,Garage
btn.generate,Generate
btn.regenerate,Regenerate
btn.buy,Buy
btn.select,Select
btn.paint,Paint
btn.switch,Switch
btn.confirm,Confirm
btn.change,Change
btn.skip,Skip
btn.next_page,Next Page
btn.prev_page,Previous Page
btn.disable_tips,Disable Tips

# Keep these very short. On / off can be translated same as yes / no to keep them shorter

btn.on,On
btn.off,Off
btn.yes,Yes
btn.no,No
btn.ok,OK
btn.all,All

# Main Menu 

main_menu.btn.campaign,Campaign
main_menu.btn.custom_race,Custom Race
main_menu.btn.editors_mods,Editors & Mods
main_menu.btn.daily_challenge,Daily Challenge
main_menu.btn.leaderboards,Leaderboards
main_menu.btn.achievements,Achievements
main_menu.btn.settings,Settings
main_menu.btn.about,About
main_menu.btn.quit,Quit
main_menu.label.whats_new,What's New

# Main Menu => Campaign

campaign.btn.continue,Continue
campaign.btn.new,New
campaign.btn.load,Load
campaign.saves,Saves
campaign.no_saves,No Saves
campaign.btn.tips,Tips
campaign.dialogue.cannot_continue,You cannot continue this campaign, it is already finished!

campaign.difficulty,Difficulty
campaign.difficulty.easy,Easy
campaign.difficulty.normal,Normal
campaign.difficulty.hard,Hard
campaign.difficulty.hardcore,Hardcore
campaign.difficulty.locked.tip,Required racer level: {0}
campaign.difficulty.dialogue.locked,The level of difficulty you have selected is locked. Reach racer level {0} in easier difficulty to unlock it.

campaign.name,Campaign Name

campaign.missions_challenges,Missions & Challenges
campaign.missions_challenges.tip,Some stages would have random missions or challenges
campaign.races_with_weapons,Races With Weapons
campaign.races_with_weapons.tip,Some race tracks will have zones that give weapons or powerups
campaign.directors_car,Director's Car
campaign.directors_car.tip,Director Nicholas would be driving in his limo causing mayhem. Adds difficulty.
campaign.helicopter_weapons,Helicopter Weapons
campaign.helicopter_weapons.tip,Brace's helicopter would sometimes have weapons and shoot racers. Adds difficulty.
campaign.adaptive_ai,Adaptive AI
campaign.adaptive_ai.tip,AI Racers would get better or worse over time depending on how well you are doing
campaign.weekly_rebalance,Weekly Rebalance
campaign.weekly_rebalance.tip,Once a week AI racers may get extra XP and Cash. Adds difficulty.
campaign.custom_content,Custom Tracks and Cars
campaign.custom_content.tip,Will include tracks and cars built by you
campaign.workshop_content,Workshop Tracks and Cars
campaign.workshop_content.tip,Include tracks and cars you have subscribed on Steam Workshop
campaign.allow_heavy_tracks,Allow Object-Heavy Tracks
campaign.allow_heavy_tracks.tip,Include Custom / Workshop tracks that have high object density that could negatively impact performance

campaign.btn.start_new,Start New Campaign

# Main Menu => Custom Race

custom_race.btn.continue_session,Continue Session
custom_race.btn.new_session,New Session
custom_race.btn.random_time_attack,Quick Time Attack
custom_race.btn.random_race,Quick Race
custom_race.btn.random_battle,Quick Battle

# Main Menu => Editors & Mods

editors_mods.btn.track_editor,Track Editor
editors_mods.btn.car_editor,Car Editor
editors_mods.btn.mod_manager,Mod Manager

# Main Menu => Mod Manager

mods.section.tracks,Subscribed Tracks
mods.section.cars,Subscribed Cars
mods.btn.open_workshop,Browse Workshop
mods.btn.manage_tracks,Tracks
mods.btn.manage_cars,Cars
mods.btn.reload,Reload Mods
mods.btn.unsubscribe.tip,Remove
mods.btn.view_online.tip,View Online

# Leaderboards

leaderboard.time_attack.title,Time Attack<br>Leaderboard
leaderboard.type,Leaderboard Type
leaderboard.type.friends,Friends
leaderboard.type.global,Global
leaderboard.top100,Top 100
leaderboard.daily_challenge,Daily Challenge<br>Leaderboard
leaderboard.daily_challenge.time_out,Time Out!
leaderboard.daily_challenge.lap_attempts,Lap Attempts
leaderboard.daily_challenge.ends_in,Ends In
leaderboard.daily_challenge.grace_period,Grace Period
leaderboard.daily_challenge.ended_minutes_ago, Ended {0:0} Minutes Ago
leaderboard.daily_challenge.ended_hours_ago, Ended {0:0} Hours Ago
leaderboard.daily_challenge.ended_days_ago, Ended {0:0} Days Ago
leaderboard.day,Day
leaderboard.btn.race_now,Race Now
leaderboard.btn.race_now.tip,Race to set your lap time with selected track and car
leaderboard.no_score.race_now,You haven't set a score yet. Race now to set it!
leaderboard.no_steam_connection,Steam connection is not available<br><br>Leaderboards will not work
leaderboard.btn.time_attack,Time Attack
leaderboard.time_attack.tip,Track lap time leaderboards. Use "Custom Race" with "Time Attack" mode to set yours.
leaderboard.refresh.tip,Reload scores directly from Steam

# Leaderboard Names

leaderboard.max_season,Max Season
leaderboard.max_racer_level,Max Racer Level
leaderboard.people_hit,People Hit
leaderboard.km_driven,KM Driven
leaderboard.cash_earned,Cash Earned
leaderboard.xp_gained,XP Gained
leaderboard.podium_finishes,Podium Finishes
leaderboard.podium_gold,Podium Gold
leaderboard.seasons_won,Seasons Won
leaderboard.cars_fragged,Cars Fragged
leaderboard.tracks_created,Tracks Created
leaderboard.longest_jump,Longest Jump
leaderboard.meters_jumped,Meters Jumped
leaderboard.seconds_drifted,Seconds Drifted

# Settings 

# DO NOT TRANSLATE THIS ONE! JUST COPY IT BUT KEEP ENGLISH!
settings.btn.language,Language

settings.btn.video,Video
settings.btn.visuals,Visuals
settings.btn.gameplay,Gameplay
settings.btn.audio,Audio
settings.btn.input,Input
settings.btn.reset,Reset

# Settings -> Video

settings.video.quality_warning,This quality level may not be optimal for your hardware!
settings.video.resolution_warning,This resolution may not be optimal for your hardware!
settings.video.vsync_tip,If you have frame stutter, disabling VSYNC and setting high FPS limit could help
settings.video.quality,Quality
settings.video.quality.performance,Performance
settings.video.quality.quality,Quality
settings.video.resolution,Resolution
settings.video.window_mode,Window Mode
settings.video.window_mode.full_screen_exclusive,Full Screen (Exclusive)
settings.video.window_mode.full_screen_window,Full Screen (Window)
settings.video.window_mode.windowed,Windowed
# Don't translate this one, just copy
settings.video.vsync,VSync
settings.video.vsync.off,Off
settings.video.vsync.on,On (Every Frame)
settings.video.vsync.on_every_2,On (Every 2nd Frame)
settings.video.fps_limit,FPS Limit
settings.video.particle_density,Particle Density
settings.video.particle_density_tip,Will affect thickness of drift smoke, road and snow dust
settings.video.btn.set_optimal,Set Optimal
settings.video.btn.set_optimal_tip,Will set recommended Resolution and Quality level for your hardware

# Settings -> Visuals

settings.visuals.ui_scale,UI Scale
settings.visuals.ui_scale_tip,Will rescale the UI
settings.visuals.speed_units,Speed Units
settings.visuals.show_blood,Show Blood
settings.visuals.show_racer_names,Show Racer Names
settings.visuals.show_tire_trails,Show Tire Trails
settings.visuals.show_brake_lights,Show Brake Lights
settings.visuals.show_clouds,Show Clouds
settings.visuals.show_weather_effects,Show Weather Effects
settings.visuals.show_car_smoke,Show Car Smoke
settings.visuals.show_controls,Show Controls
settings.visuals.show_in_race_rankings,Show In-Race Rankings
settings.visuals.dynamic_backgrounds,Dynamic Backgrounds
settings.visuals.dynamic_backgrounds.tip,For Campaign and Custom Race
settings.visuals.reduce_particles,Reduce Particles For Visibility
settings.visuals.post_processing,Post Processing
settings.visuals.minimap_size,Minimap Size
settings.visuals.minimap_size.off,Off
settings.visuals.minimap_size.regular,Regular
settings.visuals.minimap_size.large,Large
settings.visuals.minimap_size.enormous,Enormous
settings.visuals.minimap_pos,Minimap Position
settings.visuals.minimap_pos.top_left,Top Left
settings.visuals.minimap_pos.bottom_right,Bottom Right
settings.visuals.minimap_pos.top,Top
settings.visuals.minimap_pos.right,Right

# Settings -> Gameplay

settings.gameplay.show_tips,Show Tips
# FOR TRANSLATORS: Please translate as "Show Cutscenes (English Only)"
settings.gameplay.show_cutscenes,Show Cutscenes
settings.gameplay.show_speech_bubbles,Show Speech Bubbles
settings.gameplay.enable_censorship,Censor Insulting Words
settings.gameplay.peds_take_screenshots,Pedestrians Take Screenshots
settings.gameplay.post_to_discord,Post To Discord
settings.gameplay.camera_type,Camera
settings.gameplay.camera_type.fixed_road,Fixed Road
settings.gameplay.camera_type.fixed_car,Fixed Car
settings.gameplay.camera_type.fixed_person,Fixed Person
settings.gameplay.camera_type.floating,Floating
settings.gameplay.camera_zoom,Camera Zoom
settings.gameplay.camera_zoom.near,Near
settings.gameplay.camera_zoom.medium,Medium
settings.gameplay.camera_zoom.far,Far
settings.gameplay.speed_autozoom,Speed Autozoom
settings.gameplay.speed_autozoom_tip,Zoom automatically depending on your car speed
settings.gameplay.camera_shake,Camera Shake
settings.gameplay.camera_shake.full,Full
settings.gameplay.camera_shake.light,Light
settings.gameplay.camera_shake.off,Off
settings.gameplay.vibration,Vibration
settings.gameplay.run_in_background,Run In Background
settings.gameplay.auto_lock_mouse,Auto Lock Mouse
settings.gameplay.auto_lock_mouse_tip,If you have multi-monitor setup and like to multitask, you may want to disable mouse locking. After changing this, game requires restart.

# Settings -> Audio

settings.audio.master_volume,Master Volume
settings.audio.menu_sounds,Menu Sounds
settings.audio.menu_music,Menu Music
settings.audio.editor_music,Editor Music
settings.audio.race_music,Race Music
settings.audio.car_engine,Car Engine
settings.audio.tire_skid,Tire Skid
settings.audio.crowd_noise,Crowd Noise
settings.audio.sound_fx,Sound FX
settings.audio.btn.reset_to_defaults,Reset To Defaults

# Settings -> Reset

settings.reset.btn.full_reset,Full Reset
settings.reset.btn.reset_tips,Reset Tips

# FOR TRASLATORS: Be very careful to not change text inside brackets (<br>, <size=50%> and such). It is one long line
settings.reset.about,Full Reset will:<br><indent=10%><size=70%><br> - Delete all campaigns<br> - Lock all cars<br> - Exit the game right away<br> <indent=0%><size=100%><br> Full Reset will not delete:<br> <indent=10%><size=70%><br> - Achievements<br> - Leaderboard entries <br> - Custom Cars and Tracks

# Main Menu button tooltips

main_menu.btn.tooltip.homepage,Kodo Linija Homepage
main_menu.btn.tooltip.newsletter,Developer Newsletter
main_menu.btn.tooltip.dev_msg,A message from the developer
main_menu.btn.tooltip.campaign,Story mode with randomly generated tracks. Play to unlock new cars!
main_menu.btn.tooltip.race,Have a quick Race, Car Battle, or beat other racers lap times in Time Attack mode
main_menu.btn.tooltip.editors,Download tracks and cars made by other players, or make and share your own
main_menu.btn.tooltip.daily_challenge,Compete with other players for best daily lap times
main_menu.btn.tooltip.leaderboards,Glory awaits those who get to Top 100
main_menu.btn.tooltip.achievements,Got to get them all
main_menu.btn.tooltip.quit.0,Nooo! Don't click this one yet! It's the last option in the list for a reason!
main_menu.btn.tooltip.quit.1,Please, wait, we can discuss this!
main_menu.btn.tooltip.quit.2,Maybe 1 more race?
main_menu.btn.tooltip.quit.3,Are you sure? Other things can wait...
main_menu.btn.tooltip.quit.4,Every time you click this button, a gnome cuts one random wire in your car. We're not kidding!
main_menu.btn.tooltip.quit.5,If you click this, SOFACT will forgive. But they will never forget.
main_menu.btn.tooltip.quit.6,Click this to self-destruct your computer in 5 seconds.
main_menu.btn.tooltip.quit.7,Why do you have this button selected? There are so many other buttons!
main_menu.btn.tooltip.quit.8,We are holding your cat hostage. If you click this button, we will feed him your lasagna!
main_menu.btn.tooltip.quit.9,Are you serious? You have a life?

# About

about.btn.credits,Credits
about.btn.how_to_play,How To Play
about.btn.newsletter,Newsletter
about.btn.version,Version
about.btn.privacy,Privacy

# Version Check

version.updates_available,Updates Available
version.loading_now,Trying to load changelog from URL:<br>{0}
version.up_to_date,Up To Date
version.latest,Latest Version: {0}
version.current,This Version: {0}
version.check_failed,Could not check for updates
version.check_failed_details,Could not get version information or changelog.<br><br>There is no network connection, application is firewalled, or server is down.<br><br>URL:<br>{0}<br><br>Error details:<br>{1}
version.changelog_download_fail,There is a newer version.<br><br>However downloading changelog has failed.<br><br>URL:<br>{0}<br><br>Error details:<br>{1}
version.no_changes,No new changes or changelog not updated:
version.new_changes,New Changes: {0}

################################################################################

# Campaign
campaign.play_time,Play Time: {0}

# Add Racer Menu

new_racer.title,Register New Racer
new_racer.edit_title,Edit Racer Profile
new_racer.racer_name,Racer Name
new_racer.your_name,Your Name
new_racer.voice_pitch,Voice Pitch
new_racer.controlled_by,Controlled By
new_racer.ai_skill,AI Skill
new_racer.choose_avatar,Choose Avatar
new_racer.voice.low,{0:0}% Low
new_racer.voice.high,{0:0}% High
new_racer.voice.mid,Mid
new_racer.register,Register
new_racer.dialogue.name_required,Name is required!
new_racer.dialogue.name_taken,The name {0} is already taken by another racer!
new_racer.dialogue.confirm_remove,Are you sure you want to remove {0}?

# Select Avatar Menu

select_avatar.title,Select Avatar

# Racer List Menu

season_lineup.title,Season Lineup
season_lineup.begin_season,Begin Season

# Generation Notice

gen.generating,Hold On...<br>Generating
gen.loading,Hold On...<br>Loading

# Campaign Dashboard

dash.garage,Garage
dash.no_car_warning,You don't have a car!
dash.btn.buy_car,Buy A Car
dash.end_campaign,End Campaign
dash.end_season,End Season
dash.end_season.tip,Advance to next Season
dash.advance_week,Advance
dash.advance_week.tip,Advance to next Week
dash.view_season,View Season
dash.view_season.tip,Toggle season / week results
dash.press_x_to_select,Press {0} to select
dash.flip_track_card.tip,Flip the track card
dash.btn.walk_on_foot,Walk on Foot
dash.btn.walk_on_foot.tip,Participate in the race as a pedestrian (dangerous!)
dash.btn.save_track.tip,Save the track for use in Custom Races or Track Editor
dash.btn.regenerate.tip,Will regenerate the track, if you don't like current one
# Verb
dash.btn.do_race,Race
dash.btn.do_retry,Retry
dash.give_5k,Give $5000

# Keep short - abbreviate if necessary
dash.stage01,Stage 01
dash.stage02,Stage 02
dash.stage03,Stage 03
dash.stage04,Stage 04
dash.stage05,Stage 05

# Keep short - abbreviate if necessary
dash.week1,Week 1
dash.week2,Week 2
dash.week3,Week 3
dash.week4,Week 4
dash.week5,Week 5
dash.week6,Week 6
dash.week7,Week 7

dash.stage_rewards,Stage Rewards
dash.season_rewards,Season Rewards
dash.next_season,Next Season
dash.game_over,Game Over
dash.buy_freedom,Buy Freedom<br><size=75%>${0}</size>
dash.players,Players
# It will be in a button, so could be just "All"
dash.all_racers,All Racers

dash.maxed_out,Maxed Out
dash.req_lvl_short,Req lvl: {0}

dash.tip.add_1_lap,Add 1 lap
dash.tip.add_5_laps,Add 5 laps
dash.tip.reduce_1_lap,Reduce by 1 lap
dash.tip.reduce_5_laps,Reduce by 5 laps

dash.tip.workshop_item,Workshop Item
dash.tip.rand_time_attack,Random Time Attack session
dash.tip.rand_race,Random quick race in unique procedurally generated location
dash.tip.rand_battle,Random Car Battle with AI opponents in procedurally generated location
dash.tip.mark_tips_unseen,Will mark all tips as unseen
dash.tip.campaign_name_entry,Please use the keyboard or Randomize button above
dash.tip.cloud_shadows_visible,Cloud shadows will still be visible
dash.tip.not_affect_split_minimap,This setting does not affect split-screen minimap
dash.tip.censorship,Will show #%$! instead of potentially offensive words
dash.tip.discord_post,Post your leaderboard scores and uploaded mods to BRS Official Discord
dash.tip.upgrade_available,Upgrade Available!
dash.tip.voice_pitch_slider,Adjusts cutscene dialogue voice pitch
dash.tip.file_on_computer,Choose a file on your computer
dash.tip.player_num,Player {0}
dash.tip.ai_skill,AI Skill: {0:0}%
dash.tip.car_sprites_white,When editing sprites, keep car body white. Paint jobs are car independent.
dash.tip.upload_car,Upload to Steam Workshop. Make sure you have set correct Max Speed in Parameters before uploading!
dash.tip.reload_car,Use this after changing car sprites outside the game
dash.tip.speed_index,Benchmark for relative quickness
dash.tip.leaderboard_eligible,This track is eligible to have Leaderboards
dash.tip.ghost_replay_available,Ghost Replay is available
dash.tip.add_racer_btn,Add new racer (Human or AI)
dash.tip.show_track_leaderboards,Show Track Leaderboards
dash.tip.new_race_session,Start a new race session
dash.tip.race_weapons,Will add weapon zones along the track
dash.tip.0_racers,Remove all racers except for the Player
dash.tip.add_1_rnd_racer,Add 1 random racer
dash.tip.add_10_rnd_racers,Add 10 random racers
dash.tip.rnd_gen_btn,Will generate a random race track

# Custom Race Dash

dash.set_for_everyone,Set For Everyone
dash.car,Car
dash.racers,Racers
dash.search_for_track,Search for Track
dash.randomize_prompt,Click "Generate"<br>To randomize some tracks
dash.race_options,Race Options
dash.race_mode,Race Mode
dash.demo_mode,Demo Mode
dash.demo_mode.tip,AI will drive instead of player
dash.opponent_skill,Opponent Skill
dash.start_race,Start Race
dash.race_in_x,Race in {0}
dash.battle_in_x,Battle in {0}
dash.time_attack_in_x,Time Attack in {0}
dash.x_to_select,{0} to select
dash.add_player,Add Player
dash.tracks_full_screen.tip,Toggle Full Screen View

# Rewards

rew.car_unlock,Car Unlocked: {0}
rew.total_pts,Total Points
rew.dmg_taken,Damage Taken
rew.dmg_given,Damage Given
rew.unused_nitro,Unused Nitro
rew.corner_cut,Corner Cutting
rew.good_photos,Quality Photos Taken
rew.close_calls,Close Calls
rew.survival_bonus,Survival Bonus
rew.place,{0} Place
rew.dnf,DNF
rew.pts,{0} pts
rew.ch.unknown,Unknown Challenge
rew.ch.success,SUCCESS: {0}
rew.ch.fail,FAIL: {0}
rew.lethal,Lethal Accidents
rew.most_lethal,Most Lethal Accidents
rew.frags,Frags
rew.jumps,Ramp Jumps
rew.longest_jump,Longest Jump
rew.drifts,Drifts
# Personal
rew.longest_drift,Longest Drift
rew.most_drifts,Most Drifts
# Among everyone
rew.most_longest_drift,Most Longest Drift
rew.level_up,Level Up
rew.aero_up,Aero Upgrade Unlocked
rew.engine_up,Engine Upgrade Unlocked
rew.turbo_up,Turbo Upgrade Unlocked
rew.gears_up,Transmission Upgrade Unlocked
rew.grip_up,Grip Upgrade Unlocked
rew.level_x,Level {0}
rew.paint_jobs,Unlocked New Paint Jobs

# Car Stats

# Keep these very short! Max 10 characters!
car.stat.speed_idx,Speed Idx
car.stat.top_speed,Top Speed
car.stat.power,Power
car.stat.mass,Mass
car.stat.health,Health
car.stat.steering,Steering
car.stat.grip,Grip
car.stat.shift_time,Shift Time

# Car Upgrades

# Short version
car.upgrade.engine,Engine
car.upgrade.turbo,Turbo
car.upgrade.gears,Gears
car.upgrade.aero,Aero
car.upgrade.grip,Tires

car.upgrade.engine.title,Engine Upgrade
car.upgrade.turbo.title,Turbocharger Upgrade
car.upgrade.gears.title,Transmission Upgrade
car.upgrade.aero.title,Aerodynamics Upgrade
car.upgrade.grip.title,Grip & Handling Upgrade

car.upgrade.engine.tip,Adds raw power to your Engine
car.upgrade.turbo.tip,Makes speed boosts more effective
car.upgrade.gears.tip,Reduces gear shift time
car.upgrade.aero.tip,Improves top speed and grip
car.upgrade.grip.tip,Improves grip and handling

# Racer Profile

racer.last_races,Last Races
racer.no_data,No Data
racer.level,Racer Level
racer.races_attempted,Races Attempted
racer.races_won,Races Won
racer.peds_hit,Pedestrians Hit
racer.times_drifted,Times Drifted

racer.title.rookie,Rookie
racer.title.semi_pro,Semi Pro
racer.title.pro,Professional
racer.title.veteran,Veteran
racer.title.master,Master
racer.title.grand_master,Grand Master
racer.title.legend,Legendary
racer.title.epic,Epic

# Car Paint

paint.main_color,Main Color
paint.layer1,Paint Layer 1
paint.layer2,Paint Layer 2
paint.select_pattern,Select Pattern
paint.change_color,Change Color
paint.rotate_left,Rotate Left
paint.rotate_right,Rotate Right
paint.zoom_out,Zoom Out
paint.zoom_in,Zoom In
paint.reduce_opacity,Reduce Opacity
paint.increase_opacity,Increase Opacity
paint.move,Move
paint.remove_paint_layer,Remove Paint Layer
paint.open_custom_folder,Open OS folder for custom paint jobs

# Pedestrian Mode

ped.close_calls,Close Calls
ped.photos,Photos
ped.good_photos,Good Photos
ped.earned_cash,Earned Cash

# Race mode

race.paused.by,Paused by {0}
race.you_have_a_challenge,You Have a Challenge
race.btn.exit,Exit Race
race.btn.exit_desktop,Exit To Desktop
race.btn.restart,Restart
race.btn.photo_mode,Photo Mode
race.btn.speed_up,Speed Up
race.btn.end,End Race
race.finished,Race Finished
race.waiting,Waiting ({0:0}s)

# Battle mode

battle.finished,Battle Complete

# Input Actions

act.UIHorizontal,Horizontal Navigation
act.UIVertical,Vertical Navigation
act.UISubmit,Submit
act.UICancel,Cancel
act.ShowTutorial,Show Tip
act.UICycleNext,Cycle Next
act.UICyclePrev,Cycle Previous
act.UIPlayerNext,Next Player
act.UIPlayerPrev,Previous Player

act.Steer,Steer
act.Accelerate,Accelerate
act.Brake,Brake
act.Pause,Pause
act.Camera,Toggle Camera
act.Handbrake,Handbrake
act.ResetCar,Reset Car
act.Zoom,Toggle Zoom
act.Nitro,Nitro
act.Fire,Fire Weapon
act.DropWeapon,Drop Weapon

act.EditorZoom,Zoom
act.RotateObject,Rotate Object
act.HorizontalPan,Horizontal Pan
act.VerticalPan,Vertical Pan
act.PlaceObject,Place Object
act.CancelAction,Cancel Action
act.Undo,Undo
act.Redo,Redo
act.CopyModifier,Copy Modifier
act.DeleteModifier,Delete Modifier

act.Walk,Walk
act.Turn,Turn
act.Take Photo,Take Photo
act.Wave,Wave
act.FastForward,Fast Forward
act.PedZoom,Zoom
act.PedPause,Pause

act.MoveHorizontal,Move Horizontal
act.MoveVertical,Move Vertical
act.PhotoZoom,Zoom
act.Rotate,Rotate
act.PhotoModePhoto,Take Photo
act.ToggleTime,Toggle Time
act.ControlTimeScale,Time Scale
act.ToggleUI,Toggle UI
act.ExitPhotoMode,Exit Photo Mode
act.AdjustMotionSpeed,Motion Speed

# Track editor

tr.file,File
tr.file.new,New
tr.file.new.tip,Start editing a new track
tr.file.open,Open
tr.file.open.tip,Open a saved track
tr.file.save,Save
tr.file.save.tip,Save current track
tr.file.undo,Undo
tr.file.redo,Redo
tr.file.share,Share
tr.file.share.tip,Upload current track to Steam Workshop
tr.file.delete,Delete
tr.file.delete.tip,Delete a saved tack (you will choose which one)
tr.file.exit,Exit
tr.file.exit.tip,Exit to Main Menu

tr.grid,Grid
tr.grid.toggle,Toggle
tr.grid.toggle.tip,Show or hide the grid
tr.grid.light,Light
tr.grid.light.tip,Make the grid bright (useful on dark tracks)
tr.grid.dark,Dark
tr.grid.dark.tip,Make the grid dark (useful on bright tracks)

tr.gen,Generate
tr.gen.full_circuit,Complete Circuit
tr.gen.full_circuit.tip,Generate a complete circuit race track curvature and objects. Will replace current track.
tr.gen.full_open,Complete Open Road
tr.gen.full_open.tip,Generate a complete open road curvature and objects. Will replace current track.
tr.gen.circuit,Circuit
tr.gen.circuit.tip,Generate closed circuit curvature. Will replace current track and will delete objects.
tr.gen.open,Open Road
tr.gen.open.tip,Generate open road curvature. Will replace current track and will delete objects.
tr.gen.all_objects,All Objects
tr.gen.all_objects.tip,Generate new objects. Will replace all existing objects.
tr.gen.object_groups,Object Groups
tr.gen.object_groups.tip,Generate handmade object groups. Will replace all existing ones.
tr.gen.crowd,Crowd
tr.gen.crowd.tip,Generate crowd. Will replace all existing ones.
tr.gen.forests,Forests
tr.gen.forests.tip,Generate forests. Will replace all existing ones. If used in City tracks, will remove all green squares!
tr.gen.flowers,Flowers
tr.gen.flowers.tip,Generate flowers. Will replace all existing ones. Will do nothing in City tracks.
tr.gen.bushes,Bushes
tr.gen.bushes.tip,Generate bushes. Will replace all existing ones. Will do nothing in City tracks.
tr.gen.rocks,Rocks
tr.gen.rocks.tip,Generate rocks. Will replace all existing ones.
tr.gen.tires,Tires
tr.gen.tires.tip,Generate tires. Will replace all existing ones.
tr.gen.cones,Cones
tr.gen.cones.tip,Generate cones. Will replace all existing ones.
tr.gen.walls,Walls
tr.gen.walls.tip,Generate walls. Will replace all existing ones.
tr.gen.lamps,Street Lamps
tr.gen.lamps.tip,Generate street lamps. Will replace all existing ones.
tr.gen.buildings,Buildings
tr.gen.buildings.tip,Generate buildings. Will replace all existing ones.
tr.gen.puddles,Puddles
tr.gen.puddles.tip,Generate puddles. Will replace all existing ones.
tr.gen.ramps,Ramps
tr.gen.ramps.tip,Generate ramps. Will replace all existing ones.

