######################################
# Bloody Rally Show translations file 
# Locale: Chinese [partial GOOGLE TRANSLATED]
# Author: Cn123
# Contact: 王炸 / tomas@kodolinija.com
######################################

######################################
# What should not be modified:
# 1. Anything inside < > brackets - these are special text formatting tags
# 2. Anything inside { } brackets - these are variables that will be replaced
#
# Do not remove {0} and similar variables - it can cause in-game errors!
#
# There is one exception to the rule above. When {0} is a curse adjective or adverb (friggin, etc)
# And it is stated so in the example, if your language cannot combine them well, you can try ommitting {0}
# In this case, but if there is more than one variable ({0}, {1}), you cannot remove {0} and leave {1}!
# You can remove the last variable ({1}) in this case, to keep the variable sequence running from {0}
# (only if {1} is a curse adjective / adverb)
#
# <br> is a line break
#
# It is highly recommended to keep every single key in same exact line as English - copy all the comments and blank lines
######################################

# Characters

# If you change any character names, you have to consistently keep using them
# Across all the translations where they are mentioned. Also in Tips.txt
# For this reason I suggest to keep names of Brace Stone and Nicholas Merryland 
# unchanged. Anonymous racer only appears in introduction cutscene.

char.brace.name,Brace Stone
term.pos,位置
# Noun - number of people killed (keep short, abbreviate if necessary)
term.kills,杀人数
# Noun - number of cars fragged (reference to Quake). Keep as "Frags" in your alphabet. Max 5 characters.
term.frags,碎片数
term.damage,损害金额
# Short from "damage", Keep "dmg" if you cannot get this to less than 6 characters.
term.dmg,损害金额
term.racer,赛车手
term.ped,行人
term.he,他
term.she,她
term.mr,先生
# Ms is between Miss and Mrs 
term.ms,小姐
term.resurrect,复活
term.progress,进展
term.attempt,尝试
term.tips,提示
term.difficulty,困难

# Generic buttons (keep short)

btn.back,回去
btn.continue,继续
btn.apply,应用
btn.close,关
btn.refresh,刷新
btn.random,随机
btn.randomize,随机化
btn.main_menu,主菜单
btn.save,救
btn.cancel,取消
btn.delete,删除
btn.edit,编辑
btn.garage,车库
btn.generate,生成
btn.regenerate,再生
btn.buy,购买
btn.select,选择
btn.paint,油漆
btn.switch,交换
btn.confirm,确认
btn.change,更改
btn.skip,跳跃
btn.next_page,下一页
btn.prev_page,上一页
btn.disable_tips,禁用提示

# Keep these very short. On / off can be translated same as yes / no to keep them shorter

btn.on,上
btn.off,关
btn.yes,是
btn.no,没有
btn.ok,好
btn.all,所有

# Main Menu 

main_menu.btn.campaign,运动
main_menu.btn.custom_race,定制种族
main_menu.btn.editors_mods,编辑和修改
main_menu.btn.daily_challenge,每日的挑战
main_menu.btn.leaderboards,排行榜
main_menu.btn.achievements,成就
main_menu.btn.settings,设定
main_menu.btn.about,关于
main_menu.btn.quit,退出
main_menu.label.whats_new,新闻

# Main Menu => Campaign

campaign.btn.continue,继续
campaign.btn.new,新
campaign.btn.load,加载
campaign.saves,节省
campaign.no_saves,没有保存
campaign.btn.tips,提示
campaign.dialogue.cannot_continue,您无法继续此广告系列，它已经完成！

campaign.difficulty,困难
campaign.difficulty.easy,简单
campaign.difficulty.normal,定期
campaign.difficulty.hard,硬
campaign.difficulty.hardcore,铁杆
campaign.difficulty.locked.tip,要求赛车手等级: {0}
campaign.difficulty.dialogue.locked,您选择的难度级别已锁定。 以更容易的难度将赛车手等级提高到{0}。

campaign.name,Campaign Name

campaign.missions_challenges,任务与挑战
campaign.missions_challenges.tip,有些阶段会有随机任务或挑战
campaign.races_with_weapons,武器比赛
campaign.races_with_weapons.tip,某些赛道将设有提供武器或加电装置的区域
campaign.directors_car,导演车
campaign.directors_car.tip,导演尼古拉斯（Nicholas）将驾驶豪华轿车开车，造成混乱。 增加难度。
campaign.helicopter_weapons,直升机武器
campaign.helicopter_weapons.tip,直升机有时会配备武器并射击赛车手。 增加难度。
campaign.adaptive_ai,适应性对手
campaign.adaptive_ai.tip,随着时间的流逝，对手会变得更好或更坏，这取决于您的表现如何
campaign.weekly_rebalance,每周重新平衡
campaign.weekly_rebalance.tip,每周一次，对手可能会获得额外的经验和金钱。 增加难度。
campaign.custom_content,定制轨道和汽车
campaign.custom_content.tip,将包括您创建的轨道和汽车
campaign.workshop_content,车间轨道和汽车
campaign.workshop_content.tip,包括您在Steam Workshop上订阅的曲目和汽车
campaign.allow_heavy_tracks,允许物体沉重的轨道
campaign.allow_heavy_tracks.tip,包括具有高对象密度的Custom和Steam Workshop轨道，这可能会对性能产生负面影响

campaign.btn.start_new,开始新的运动

# Main Menu => Custom Race

custom_race.btn.continue_session,继续会议
custom_race.btn.new_session,新会议
custom_race.btn.random_time_attack,快速时间攻击
custom_race.btn.random_race,快速竞赛
custom_race.btn.random_battle,快速战斗

# Main Menu => Editors & Mods

editors_mods.btn.track_editor,曲目编辑器
editors_mods.btn.car_editor,汽车编辑
editors_mods.btn.mod_manager,修改经理

# Main Menu => Mod Manager

mods.section.tracks,订阅的曲目
mods.section.cars,订阅汽车
mods.btn.open_workshop,浏览工作坊
mods.btn.manage_tracks,赛道
mods.btn.manage_cars,汽车
mods.btn.reload,重新加载修改
mods.btn.unsubscribe.tip,去掉
mods.btn.view_online.tip,在线查看

# Leaderboards

leaderboard.time_attack.title,时间攻击<br>排行榜
leaderboard.type,排行榜类型
leaderboard.type.friends,朋友们
leaderboard.type.global,全球
leaderboard.top100,前100名
leaderboard.daily_challenge,每日的挑战<br>排行榜
leaderboard.daily_challenge.time_out,超时！
leaderboard.daily_challenge.lap_attempts,单圈尝试
leaderboard.daily_challenge.ends_in,剩余时间
leaderboard.daily_challenge.grace_period,宽限期
leaderboard.daily_challenge.ended_minutes_ago,于{0:0}分钟前结束
leaderboard.daily_challenge.ended_hours_ago, 于{0:0}}小时前结束o
leaderboard.daily_challenge.ended_days_ago, 于{0:0}天前结束
leaderboard.day,天
leaderboard.btn.race_now,现在比赛
leaderboard.btn.race_now.tip,种族与选定的轨道和汽车来设置你的圈速
leaderboard.no_score.race_now,您尚未设置分数。 现在就开始比赛吧！
leaderboard.no_steam_connection,Steam连接不可用<br><br>排行榜无法正常工作
leaderboard.btn.time_attack,时间攻击
leaderboard.time_attack.tip,跟踪单圈时间排行榜。 使用“自定义种族”和“时间攻击”模式进行设置。
leaderboard.refresh.tip,直接从Steam重新加载分数

# Leaderboard Names

leaderboard.max_season,最大季节
leaderboard.max_racer_level,最高赛车手等级
leaderboard.people_hit,人命中
leaderboard.km_driven,行驶公里
leaderboard.cash_earned,赚取的现金
leaderboard.xp_gained,获得的经验
leaderboard.podium_finishes,讲台饰面
leaderboard.podium_gold,讲台金
leaderboard.seasons_won,季节赢了
leaderboard.cars_fragged,汽车毁了
leaderboard.tracks_created,创建的曲目
leaderboard.longest_jump,最长跳
leaderboard.meters_jumped,米跳
leaderboard.seconds_drifted,秒漂移

# Settings 

# DO NOT TRANSLATE THIS ONE! JUST COPY IT BUT KEEP ENGLISH!
settings.btn.language,Language

settings.btn.video,视频
settings.btn.visuals,视觉效果
settings.btn.gameplay,游戏玩法
settings.btn.audio,音讯
settings.btn.input,输入
settings.btn.reset,重启

# Settings -> Video

settings.video.quality_warning,此质量级别可能不是您的硬件最佳的！
settings.video.resolution_warning,对于您的硬件，此分辨率可能不是最佳选择！
settings.video.vsync_tip,如果出现帧卡顿现象，则禁用垂直同步并设置较高的FPS限制可能会有所帮助
settings.video.quality,质量
settings.video.quality.performance,性能
settings.video.quality.quality,质量
settings.video.resolution,解析度
settings.video.window_mode,窗口模式
settings.video.window_mode.full_screen_exclusive,全屏（独家）
settings.video.window_mode.full_screen_window,全屏（窗口）
settings.video.window_mode.windowed,开窗的
# Don't translate this one, just copy
settings.video.vsync,垂直同步
settings.video.vsync.off,关
settings.video.vsync.on,开启（每帧）)
settings.video.vsync.on_every_2,开（每第二帧）
settings.video.fps_limit,FPS限制
settings.video.particle_density,粒子密度
settings.video.particle_density_tip,会影响飘浮烟雾，道路和雪尘的厚度
settings.video.btn.set_optimal,设定最佳
settings.video.btn.set_optimal_tip,将为您的硬件设置建议的分辨率和质量级别

# Settings -> Visuals

settings.visuals.ui_scale,用户界面比例
settings.visuals.ui_scale_tip,将重新调整用户界面
settings.visuals.speed_units,速度单位
settings.visuals.show_blood,露血
settings.visuals.show_racer_names,显示赛车手名称
settings.visuals.show_tire_trails,显示轮胎痕迹
settings.visuals.show_brake_lights,显示刹车灯
settings.visuals.show_clouds,显示云
settings.visuals.show_weather_effects,显示天气影响
settings.visuals.show_car_smoke,秀车烟雾
settings.visuals.show_controls,显示控件
settings.visuals.show_in_race_rankings,显示比赛排名
settings.visuals.dynamic_backgrounds,动态背景
settings.visuals.dynamic_backgrounds.tip,对于竞选和自定义种族
settings.visuals.reduce_particles,减少可见性的粒子
settings.visuals.post_processing,后期处理
settings.visuals.minimap_size,小地图尺寸
settings.visuals.minimap_size.off,关
settings.visuals.minimap_size.regular,定期
settings.visuals.minimap_size.large,大
settings.visuals.minimap_size.enormous,巨大
settings.visuals.minimap_pos,小地图位置
settings.visuals.minimap_pos.top_left,左上方
settings.visuals.minimap_pos.bottom_right,右下
settings.visuals.minimap_pos.top,以上
settings.visuals.minimap_pos.right,右边

# Settings -> Gameplay

settings.gameplay.show_tips,显示提示
# FOR TRANSLATORS: Please translate as "Show Cutscenes (English Only)"
settings.gameplay.show_cutscenes,显示过场动画（仅英语）
settings.gameplay.show_speech_bubbles,显示泡泡
settings.gameplay.enable_censorship,检察官侮辱性话
settings.gameplay.peds_take_screenshots,行人截图
settings.gameplay.post_to_discord,发布到Discord
settings.gameplay.camera_type,相机
settings.gameplay.camera_type.fixed_road,固定在路上
settings.gameplay.camera_type.fixed_car,固定在车上
settings.gameplay.camera_type.fixed_person,固定在人身上
settings.gameplay.camera_type.floating,漂浮的
settings.gameplay.camera_zoom,相机变焦
settings.gameplay.camera_zoom.near,近
settings.gameplay.camera_zoom.medium,平均
settings.gameplay.camera_zoom.far,遥远
settings.gameplay.speed_autozoom,速度变焦
settings.gameplay.speed_autozoom_tip,根据您的车速自动缩放
settings.gameplay.camera_shake,相机震动
settings.gameplay.camera_shake.full,充分
settings.gameplay.camera_shake.light,轻
settings.gameplay.camera_shake.off,关
settings.gameplay.vibration,振动
settings.gameplay.run_in_background,在后台运行
settings.gameplay.auto_lock_mouse,自动锁鼠
settings.gameplay.auto_lock_mouse_tip,如果您具有多显示器设置并且喜欢执行多任务，则可能要禁用鼠标锁定。 更改此设置后，游戏需要重新启动。

# Settings -> Audio

settings.audio.master_volume,主音量
settings.audio.menu_sounds,菜单声音
settings.audio.menu_music,菜单音乐
settings.audio.editor_music,编辑音乐
settings.audio.race_music,比赛音乐
settings.audio.car_engine,汽车引擎
settings.audio.tire_skid,轮胎打滑
settings.audio.crowd_noise,人群噪音
settings.audio.sound_fx,声音效果
settings.audio.btn.reset_to_defaults,重置为默认值

# Settings -> Reset

settings.reset.btn.full_reset,完全重置
settings.reset.btn.reset_tips,重置提示

# FOR TRASLATORS: Be very careful to not change text inside brackets (<br>, <size=50%> and such). It is one long line
settings.reset.about,完全重置将：<br> <indent=10%> <size=70%> <br>-删除所有战役<br>-锁定所有汽车<br>-立即退出游戏<br> <indent=0%> <size=100%> <br>完全重置不会删除：<br> <indent=10%> <size=70%> <br>-成就<br>-排行榜条目<br>-自定义赛车和赛道

# Main Menu button tooltips

main_menu.btn.tooltip.homepage,Kodo Linija主页
main_menu.btn.tooltip.newsletter,开发人员通讯
main_menu.btn.tooltip.dev_msg,开发者的信息
main_menu.btn.tooltip.campaign,具有随机生成的曲目的故事模式。 玩解锁新车！
main_menu.btn.tooltip.race,在“时间攻击”模式下进行快速的种族，汽车战或击败其他赛车圈速
main_menu.btn.tooltip.editors,下载其他玩家制作的曲目和汽车，或制作并分享自己的曲目
main_menu.btn.tooltip.daily_challenge,与其他选手竞争以获得最佳的每日单圈时间
main_menu.btn.tooltip.leaderboards,荣耀等待着进入前100名的人们
main_menu.btn.tooltip.achievements,得到所有
main_menu.btn.tooltip.quit.0,不！ 不要点击这个！ 由于某种原因，它是列表中的最后一个选项！
main_menu.btn.tooltip.quit.1,请稍等，我们可以讨论一下！
main_menu.btn.tooltip.quit.2,也许再参加一场比赛？
main_menu.btn.tooltip.quit.3,你确定吗？ 其他事情可以等待...
main_menu.btn.tooltip.quit.4,每次您单击此按钮时，地精都会在您的汽车上剪一条随机的电线。 我们不是在开玩笑！
main_menu.btn.tooltip.quit.5,如果单击此按钮，SOFACT将原谅。 但是他们永远不会忘记。
main_menu.btn.tooltip.quit.6,单击此按钮可在5秒钟内自毁您的计算机。
main_menu.btn.tooltip.quit.7,为什么选择此按钮？ 还有很多其他的按钮！
main_menu.btn.tooltip.quit.8,我们将您的猫劫为人质。 如果您单击此按钮，我们将为他喂烤宽面条！
main_menu.btn.tooltip.quit.9,你是认真的吗？ 你有命吗

# About

about.btn.credits,学分
about.btn.how_to_play,怎么玩
about.btn.newsletter,通讯
about.btn.version,版
about.btn.privacy,隐私

# Version Check

version.updates_available,可用更新
version.loading_now,尝试从URL加载变更日志：<br>{0}
version.up_to_date,最新
version.latest,最新版本：{0}
version.current,这个版本： {0}
version.check_failed,无法检查更新
version.check_failed_details,无法获取版本信息或更改日志。<br><br>没有网络连接，应用程序已防火墙，或服务器已关闭。<br><br>URL：<br>{0}<br><br>错误 详细信息：<br>{1}
version.changelog_download_fail, 有一个较新的版本。<br> <br>但是下载变更日志失败。<br> <br> URL：<br> {0} <br> <br>错误详细信息：<br>{1}
version.no_changes,没有新的更改或更新的更新日志：
version.new_changes,新变化：{0}

################################################################################

# Campaign
campaign.play_time,播放时间：{0}

# Add Racer Menu

new_racer.title,注册新赛车手
new_racer.edit_title,编辑赛车手资料
new_racer.racer_name,赛车名称
new_racer.your_name,你的名字
new_racer.voice_pitch,音调
new_racer.controlled_by,受控制于
new_racer.ai_skill,对手技巧
new_racer.choose_avatar,选择头像
new_racer.voice.low,{0:0}% 低
new_racer.voice.high,{0:0}% 高
new_racer.voice.mid,中间
new_racer.register,寄存器
new_racer.dialogue.name_required,名称为必填项！
new_racer.dialogue.name_taken,名称“{0}”已被另一个赛车手使用！
new_racer.dialogue.confirm_remove,您确定要删除{0}吗？

# Select Avatar Menu

select_avatar.title,选择头像

# Racer List Menu

season_lineup.title,赛季阵容
season_lineup.begin_season,开始赛季

# Generation Notice

gen.generating,等等...<br>正在生成
gen.loading,稍等... <br>正在加载

# Campaign Dashboard

dash.garage,车库
dash.no_car_warning,你没有车！
dash.btn.buy_car,买一辆车
dash.end_campaign,结束战役
dash.end_season,结束赛季
dash.end_season.tip,前进到下一个季节
dash.advance_week,预先
dash.advance_week.tip,前进到下周
dash.view_season,观赏季节
dash.view_season.tip,切换季节/星期结果
dash.press_x_to_select,按{0}选择
dash.flip_track_card.tip,翻转轨迹卡
dash.btn.walk_on_foot,步行
dash.btn.walk_on_foot.tip,以行人身份参加比赛（危险！）
dash.btn.save_track.tip,保存赛道以在“自定义竞赛”或“赛道编辑器”中使用
dash.btn.regenerate.tip,如果您不喜欢当前曲目，将重新生成曲目
# Verb
dash.btn.do_race,赛跑
dash.btn.do_retry,重试
dash.give_5k,捐款$5000

# Keep short - abbreviate if necessary
dash.stage01,阶段01
dash.stage02,阶段02
dash.stage03,阶段03
dash.stage04,阶段04
dash.stage05,阶段05

# Keep short - abbreviate if necessary
dash.week1,周1
dash.week2,周2
dash.week3,周3
dash.week4,周4
dash.week5,周5
dash.week6,周6
dash.week7,周7

dash.stage_rewards,阶段奖励
dash.season_rewards,季节奖励
dash.next_season,下个赛季
dash.game_over,游戏结束
dash.buy_freedom,购买自由<br><size=75%>${0}</size>
dash.players,玩家们
# It will be in a button, so could be just "All"
dash.all_racers,大家

dash.maxed_out,爆棚
dash.req_lvl_short,所需级别：{0}

dash.tip.add_1_lap,加一圈
dash.tip.add_5_laps,加五圈
dash.tip.reduce_1_lap,减少一圈
dash.tip.reduce_5_laps,减少五圈

dash.tip.workshop_item,工作坊物品
dash.tip.rand_time_attack,随机时间攻击会话
dash.tip.rand_race,在独特的程序生成位置进行随机快速竞赛
dash.tip.rand_battle,在程序生成的位置与AI对手进行随机汽车战
dash.tip.mark_tips_unseen,将所有提示标记为看不见
dash.tip.campaign_name_entry,请使用上方的键盘或随机按钮
dash.tip.cloud_shadows_visible,云影仍然可见
dash.tip.not_affect_split_minimap,此设置不会影响分屏小地图
dash.tip.censorship,将显示＃％$！而不是潜在的冒犯性词语
dash.tip.discord_post,将您的排行榜分数和上传的Mod发布到BRS Official Discord
dash.tip.upgrade_available,升级可用！
dash.tip.voice_pitch_slider,调整过场对话语音音调
dash.tip.file_on_computer,选择计算机上的文件
dash.tip.player_num,玩家{0}
dash.tip.ai_skill,AI技能：{0:0}％
dash.tip.car_sprites_white,编辑精灵时，使车身保持白色。油漆工作与汽车无关。
dash.tip.upload_car,上传到Steam Workshop。上传之前，请确保在参数中设置了正确的最大速度！
dash.tip.reload_car,在游戏外改变汽车精灵后使用
dash.tip.speed_index,相对快速度的基准
dash.tip.leaderboard_eligible,此曲目有资格获得排行榜
dash.tip.ghost_replay_available,幽灵重播可用
dash.tip.add_racer_btn,添加新的赛车手（人类或AI）
dash.tip.show_track_leaderboards,显示赛道排行榜
dash.tip.new_race_session,开始新的比赛
dash.tip.race_weapons,将沿着轨道添加武器区域
dash.tip.0_racers,删除除玩家以外的所有赛车手
dash.tip.add_1_rnd_racer,加1个随机赛车
dash.tip.add_10_rnd_racers,增加10个随机赛车
dash.tip.rnd_gen_btn,会产生随机的赛道

# Custom Race Dash

dash.set_for_everyone,为每个人准备
dash.car,汽车
dash.racers,赛车手
dash.search_for_track,搜索曲目
dash.randomize_prompt,点击“生成” <br>随机分配一些曲目
dash.race_options,比赛选项
dash.race_mode,比赛模式
dash.demo_mode,演示模式
dash.demo_mode.tip,AI将代替玩家驾驶
dash.opponent_skill,对手技能
dash.start_race,开始比赛
dash.race_in_x,参加{0}
dash.battle_in_x,在{0}中战斗
dash.time_attack_in_x,{0}中的时间攻击
dash.x_to_select,{0}选择
dash.add_player,添加播放器
dash.tracks_full_screen.tip,切换全屏视图

# Rewards

rew.car_unlock,汽车解锁：{0}
rew.total_pts,总积分
rew.dmg_taken,承受伤害
rew.dmg_given,给定伤害
rew.unused_nitro,未使用的硝基
rew.corner_cut,切角
rew.good_photos,拍摄的优质照片
rew.close_calls,结束通话
rew.survival_bonus,生存奖金
rew.place,{0}地点
rew.dnf,DNF
rew.pts,{0}分
rew.ch.unknown,未知的挑战
rew.ch.success,成功：{0}
rew.ch.fail,失败：{0}
rew.lethal,致命事故
rew.most_lethal,最致命的事故
rew.frags,碎片
rew.jumps,斜坡跳
rew.longest_jump,最长跳
rew.drifts,漂移
# Personal
rew.longest_drift,最长漂移
rew.most_drifts,最多的漂移
# Among everyone
rew.most_longest_drift,最长的漂移
rew.level_up,升级
rew.aero_up,航空升级解锁
rew.engine_up,引擎升级解锁
rew.turbo_up,涡轮升级解锁
rew.gears_up,变速箱升级解锁
rew.grip_up,握力升级解锁
rew.level_x,级别{0}
rew.paint_jobs,解锁新的油漆作业

# Car Stats

# Keep these very short! Max 10 characters!
car.stat.speed_idx,速度Idx
car.stat.top_speed,最高速度
car.stat.power,功率
car.stat.mass,弥撒
car.stat.health,健康
car.stat.steering,操舵
car.stat.grip,握
car.stat.shift_time,轮班时间

# Car Upgrades

# Short version
car.upgrade.engine,发动机
car.upgrade.turbo,涡轮
car.upgrade.gears,齿轮
car.upgrade.aero,航空
car.upgrade.grip,轮胎

car.upgrade.engine.title,引擎升级
car.upgrade.turbo.title,涡轮增压器升级
car.upgrade.gears.title,变速箱升级
car.upgrade.aero.title,空气动力学升级
car.upgrade.grip.title,抓地力和操控性升级

car.upgrade.engine.tip,为您的引擎增加原始动力
car.upgrade.turbo.tip,使速度提升更有效
car.upgrade.gears.tip,减少换档时间
car.upgrade.aero.tip,提高最高速度和抓地力
car.upgrade.grip.tip,改善抓地力和操控性

# Racer Profile

racer.last_races,最后比赛
racer.no_data,没有数据
racer.level,赛车水平
racer.races_attempted,尝试比赛
racer.races_won,比赛获胜
racer.peds_hit,行人命中
racer.times_drifted,时代漂流

racer.title.rookie,菜鸟
racer.title.semi_pro,半专业
racer.title.pro,专业的
racer.title.veteran,老将
racer.title.master,主
racer.title.grand_master,大师级
racer.title.legend,传奇的
racer.title.epic,史诗

# Car Paint

paint.main_color,主色
paint.layer1,油漆层1
paint.layer2,油漆第2层
paint.select_pattern,选择图案
paint.change_color,换颜色
paint.rotate_left,向左旋转
paint.rotate_right,右旋
paint.zoom_out,缩小
paint.zoom_in,放大
paint.reduce_opacity,减少不透明度
paint.increase_opacity,增加不透明度
paint.move,移动
paint.remove_paint_layer,去除油漆层
paint.open_custom_folder,打开OS文件夹以进行自定义绘画作业

# Pedestrian Mode

ped.close_calls,结束通话
ped.photos,相片
ped.good_photos,好照片
ped.earned_cash,挣现金

# Race mode

race.paused.by,由{0}暂停
race.you_have_a_challenge,你有挑战
race.btn.exit,退出比赛
race.btn.exit_desktop,退出到桌面
race.btn.restart,重新开始
race.btn.photo_mode,摄影模式
race.btn.speed_up,加速
race.btn.end,结束比赛
race.finished,比赛结束
race.waiting,等待中（{0:0} s）

# Battle mode

battle.finished,战斗完成

# Input Actions

act.UIHorizontal,水平导航
act.UIVertical,垂直导航
act.UISubmit,提交
act.UICancel,取消
act.ShowTutorial,显示提示
act.UICycleNext,循环下一个
act.UICyclePrev,循环上一个
act.UIPlayerNext,下一位玩家
act.UIPlayerPrev,以前的玩家

act.Steer,转向
act.Accelerate,加速
act.Brake,制动
act.Pause,暂停
act.Camera,切换相机
act.Handbrake,手刹
act.ResetCar,重置车
act.Zoom,切换缩放
act.Nitro,硝基
act.Fire,消防武器
act.DropWeapon,掉落武器

act.EditorZoom,放大
act.RotateObject,旋转物件
act.HorizontalPan,水平锅
act.VerticalPan,垂直锅
act.PlaceObject,放置物件
act.CancelAction,取消动作
act.Undo,撤消
act.Redo,准备
act.CopyModifier,复制编辑
act.DeleteModifier,删除编辑

act.Walk,步行
act.Turn,转
act.Take Photo,拍照
act.Wave,波
act.FastForward,快进
act.PedZoom,放大
act.PedPause,暂停

act.MoveHorizontal,水平移动
act.MoveVertical,垂直移动
act.PhotoZoom,放大
act.Rotate,旋转
act.PhotoModePhoto,拍照
act.ToggleTime,切换时间
act.ControlTimeScale,时间尺度
act.ToggleUI,切换用户界面
act.ExitPhotoMode,退出照片模式
act.AdjustMotionSpeed,运动速度

# Track editor

tr.file,文件
tr.file.new,新
tr.file.new.tip,开始编辑新曲目
tr.file.open,打开
tr.file.open.tip,打开保存的曲目
tr.file.save,救
tr.file.save.tip,保存当前曲目
tr.file.undo,撤消
tr.file.redo,准备
tr.file.share,分享
tr.file.share.tip,将当前曲目上传到Steam Workshop
tr.file.delete,删除
tr.file.delete.tip,删除保存的大头钉（您将选择其中一个）
tr.file.exit,出口
tr.file.exit.tip,退出到主菜单

tr.grid,格网
tr.grid.toggle,切换
tr.grid.toggle.tip,显示或隐藏网格
tr.grid.light,光
tr.grid.light.tip,使网格变亮（在黑暗的轨道上很有用）
tr.grid.dark,暗
tr.grid.dark.tip,使网格变暗（在明亮的轨道上有用）

tr.gen,生成
tr.gen.full_circuit,完整电路
tr.gen.full_circuit.tip,生成完整的赛道曲率和对象。将替换当前曲目。
tr.gen.full_open,完成开放之路
tr.gen.full_open.tip,生成完整的开放道路曲率和对象。将替换当前曲目。
tr.gen.circuit,电路图
tr.gen.circuit.tip,生成闭路曲率。将替换当前曲目并删除对象。
tr.gen.open,开路
tr.gen.open.tip,生成开放道路曲率。将替换当前曲目并删除对象。
tr.gen.all_objects,所有物件
tr.gen.all_objects.tip,生成新对象。将替换所有现有对象。
tr.gen.object_groups,对象组
tr.gen.object_groups.tip,生成手工对象组。将替换所有现有的。
tr.gen.crowd,人群
tr.gen.crowd.tip,产生人群。将替换所有现有的。
tr.gen.forests,森林
tr.gen.forests.tip,产生森林。将替换所有现有的。如果用于城市轨道，将删除所有绿色方块！
tr.gen.flowers,花卉
tr.gen.flowers.tip,产生花。将替换所有现有的。在城市轨道上将一事无成。
tr.gen.bushes,灌木丛
tr.gen.bushes.tip,生成灌木。将替换所有现有的。在城市轨道上将一事无成。
tr.gen.rocks,岩石
tr.gen.rocks.tip,产生岩石。将替换所有现有的。
tr.gen.tires,轮胎
tr.gen.tires.tip,产生轮胎。将替换所有现有的。
tr.gen.cones,锥体
tr.gen.cones.tip,生成锥体。将替换所有现有的。
tr.gen.walls,墙
tr.gen.walls.tip,生成墙。将替换所有现有的。
tr.gen.lamps,路灯
tr.gen.lamps.tip,产生路灯。将替换所有现有的。
tr.gen.buildings,建筑物
tr.gen.buildings.tip,生成建筑物。将替换所有现有的。
tr.gen.puddles,水坑
tr.gen.puddles.tip,产生水坑。将替换所有现有的。
tr.gen.ramps,坡道
tr.gen.ramps.tip,生成坡道。将替换所有现有的。

tr.ground_type,地面类型
tr.ground_type.grass,草
tr.ground_type.tarmac,柏油碎石
tr.ground_type.dirt,污垢
tr.ground_type.sand,砂
tr.ground_type.snow,雪

tr.ground_detail,地面细节
tr.ground_detail.none,没有
tr.ground_detail.none.tip,将移除地面细节层
tr.ground_detail.shared_tip,将添加地面细节。多次单击以获取不同的混合模式。

tr.track_type,轨道类型
tr.track_type.asphalt,沥青
tr.track_type.gravel,砾石
tr.track_type.snow,雪

tr.ed_track,编辑曲目
tr.ed_track.add,加
