######################################
# Bloody Rally Show translations file 
# Locale: Spanish
# Author: Google Translate
# Contact: help@kodolinija.com
######################################

######################################
# What should not be modified:
# 1. Anything inside < > brackets - these are special text formatting tags
# 2. Anything inside { } brackets - these are variables that will be replaced
#
# Do not remove {0} and similar variables - it can cause in-game errors!
#
# There is one exception to the rule above. When {0} is a curse adjective or adverb (friggin, etc)
# And it is stated so in the example, if your language cannot combine them well, you can try ommitting {0}
# In this case, but if there is more than one variable ({0}, {1}), you cannot remove {0} and leave {1}!
# You can remove the last variable ({1}) in this case, to keep the variable sequence running from {0}
# (only if {1} is a curse adjective / adverb)
#
# <br> is a line break
#
# It is highly recommended to keep every single key in same exact line as English - copy all the comments and blank lines
######################################

# Characters

# If you change any character names, you have to consistently keep using them
# Across all the translations where they are mentioned. Also in Tips.txt
# For this reason I suggest to keep names of Brace Stone and Nicholas Merryland
# unchanged. Anonymous racer only appears in introduction cutscene.

char.brace.name,Piedra de refuerzo
campaign.btn.continue,Seguir
campaign.btn.new,Nuevo
campaign.btn.load,Carga
campaign.saves,Ahorra
campaign.no_saves,No salva
campaign.btn.tips,Consejos
campaign.dialogue.cannot_continue,No puede continuar esta campaña, ¡ya está terminada!

campaign.difficulty,Dificultad
campaign.difficulty.easy,Fácil
campaign.difficulty.normal,Normal
campaign.difficulty.hard,Difícil
campaign.difficulty.hardcore,Duro
campaign.difficulty.locked.tip,Nivel de piloto requerido: {0}
campaign.difficulty.dialogue.locked,El nivel de dificultad que ha seleccionado está bloqueado. Alcanza el nivel de corredor {0} en dificultad más fácil para desbloquearlo.

campaign.name,Nombre de campaña

campaign.missions_challenges,Misiones y desafíos
campaign.missions_challenges.tip,Algunas etapas tendrían misiones o desafíos aleatorios
campaign.races_with_weapons,Carreras con armas
campaign.races_with_weapons.tip,Algunas pistas de carreras tendrán zonas que otorgan armas o poderes especiales.
campaign.directors_car,Auto del director
campaign.directors_car.tip,El director Nicholas conduciría en su limusina causando caos. Agrega dificultad.
campaign.helicopter_weapons,Armas de helicóptero
campaign.helicopter_weapons.tip,El helicóptero de Brace a veces tenía armas y corredores de tiro. Agrega dificultad.
campaign.adaptive_ai,IA adaptativa
campaign.adaptive_ai.tip,Los AI Racers mejorarían o empeorarían con el tiempo dependiendo de qué tan bien lo estés haciendo
campaign.weekly_rebalance,Reequilibrio semanal
campaign.weekly_rebalance.tip,Una vez a la semana, los corredores de IA pueden obtener XP y efectivo adicionales. Agrega dificultad.
campaign.custom_content,Pistas personalizadas y autos
campaign.custom_content.tip,Incluirá pistas y autos construidos por usted
campaign.workshop_content,Taller de Pistas y Autos
campaign.workshop_content.tip,Incluye pistas y autos que hayas suscrito en Steam Workshop
campaign.allow_heavy_tracks,Permitir pistas con objetos pesados
campaign.allow_heavy_tracks.tip,Incluya pistas personalizadas / de taller que tienen una alta densidad de objetos que podrían afectar negativamente el rendimiento

campaign.btn.start_new,Iniciar nueva campaña

# Main Menu => Custom Race

custom_race.btn.continue_session,Continuar sesión
custom_race.btn.new_session,Nueva sesión
custom_race.btn.random_time_attack,Quick Time Attack
custom_race.btn.random_race,Carrera rápida
custom_race.btn.random_battle,Batalla rápida

# Main Menu => Editors & Mods

editors_mods.btn.track_editor,Editor de pistas
editors_mods.btn.car_editor,Editor de automóviles
editors_mods.btn.mod_manager,Mod Manager

# Main Menu => Mod Manager

mods.section.tracks,Pistas Suscritas
mods.section.cars,Autos suscritos
mods.btn.open_workshop,Examinar taller
mods.btn.manage_tracks,Pistas
mods.btn.manage_cars,Carros
mods.btn.reload,Recargar Mods
mods.btn.unsubscribe.tip,Eliminar
mods.btn.view_online.tip,Ver online

# Leaderboards

leaderboard.time_attack.title,Tiempo de ataque <br> Tabla de clasificación
leaderboard.type,Tipo de tabla de clasificación
leaderboard.type.friends,Amigos
leaderboard.type.global,Global
leaderboard.top100,Top 100
leaderboard.daily_challenge,Reto diario <br> Tabla de clasificación
leaderboard.daily_challenge.time_out,¡Se acabó el tiempo!
leaderboard.daily_challenge.lap_attempts,Intentos de vuelta
leaderboard.daily_challenge.ends_in,Termina en
leaderboard.daily_challenge.grace_period,Periodo de gracia
leaderboard.daily_challenge.ended_minutes_ago,Terminó {0:0} Minutos atrás
leaderboard.daily_challenge.ended_hours_ago,Terminó {0:0} horas atrás
leaderboard.daily_challenge.ended_days_ago,Terminó {0:0} días atrás
leaderboard.day,Día
leaderboard.btn.race_now,Carrera ahora
leaderboard.btn.race_now.tip,Corre para establecer tu tiempo de vuelta con la pista y el auto seleccionados
leaderboard.no_score.race_now,Aún no has establecido una puntuación. ¡Corre ahora para configurarlo!
leaderboard.no_steam_connection,La conexión de vapor no está disponible. <br><br> Las tablas de clasificación no funcionarán
leaderboard.btn.time_attack,Tiempo de ataque
leaderboard.time_attack.tip,Seguimiento de tablas de clasificación de tiempo de vuelta. Use "Carrera personalizada" con el modo "Time Attack" para configurar el suyo.
leaderboard.refresh.tip,Recargar puntajes directamente desde Steam

# Leaderboard Names

leaderboard.max_season,Max Season
leaderboard.max_racer_level,Nivel máximo de corredor
leaderboard.people_hit,La gente golpeó
leaderboard.km_driven,KM conducido
leaderboard.cash_earned,Efectivo ganado
leaderboard.xp_gained,XP obtenido
leaderboard.podium_finishes,Acabados del podio
leaderboard.podium_gold,Podium Gold
leaderboard.seasons_won,Estaciones ganadas
leaderboard.cars_fragged,Autos fragmentados
leaderboard.tracks_created,Pistas creadas
leaderboard.longest_jump,Salto más largo
leaderboard.meters_jumped,Los metros saltaron
leaderboard.seconds_drifted,Segundos Derivados

# Settings

# DO NOT TRANSLATE THIS ONE! JUST COPY IT BUT KEEP ENGLISH!
settings.btn.language,Language

settings.btn.video,Vídeo
settings.btn.visuals,Visuales
settings.btn.gameplay,Como se Juega
settings.btn.audio,Audio
settings.btn.input,Entrada
settings.btn.reset,Reiniciar

# Settings -> Video

settings.video.quality_warning,¡Este nivel de calidad puede no ser óptimo para su hardware!
settings.video.resolution_warning,¡Esta resolución puede no ser óptima para su hardware!
settings.video.vsync_tip,Si tiene tartamudeo de trama, deshabilitar VSYNC y establecer un límite alto de FPS podría ayudar
settings.video.quality,Calidad
settings.video.quality.performance,Actuación
settings.video.quality.quality,Calidad
settings.video.resolution,Resolución
settings.video.window_mode,Modo ventana
settings.video.window_mode.full_screen_exclusive,Pantalla completa (exclusiva)
settings.video.window_mode.full_screen_window,Pantalla completa (ventana)
settings.video.window_mode.windowed,Ventana
# Don't translate this one, just copy
settings.video.vsync,VSync
settings.video.vsync.off,Apagado
settings.video.vsync.on,Encendido (cada cuadro)
settings.video.vsync.on_every_2,Encendido (cada segundo fotograma)
settings.video.fps_limit,Límite de FPS
settings.video.particle_density,Densidad de particula
settings.video.particle_density_tip,Afectará el espesor del humo a la deriva, el polvo de la carretera y la nieve
settings.video.btn.set_optimal,Establecer óptimo
settings.video.btn.set_optimal_tip,Establecerá la resolución recomendada y el nivel de calidad para su hardware

# Settings -> Visuals

settings.visuals.ui_scale,Escala UI
settings.visuals.ui_scale_tip,Reescalará la IU
settings.visuals.speed_units,Unidades de velocidad
settings.visuals.show_blood,Mostrar sangre
settings.visuals.show_racer_names,Mostrar nombres de corredor
settings.visuals.show_tire_trails,Mostrar huellas de neumáticos
settings.visuals.show_brake_lights,Mostrar luces de freno
settings.visuals.show_clouds,Mostrar nubes
settings.visuals.show_weather_effects,Mostrar efectos climáticos
settings.visuals.show_car_smoke,Mostrar humo de automóvil
settings.visuals.show_controls,Mostrar controles
settings.visuals.show_in_race_rankings,Mostrar clasificaciones en carrera
settings.visuals.dynamic_backgrounds,Fondos dinámicos
settings.visuals.dynamic_backgrounds.tip,Para campaña y carrera personalizada
settings.visuals.reduce_particles,Reducir partículas para visibilidad
settings.visuals.post_processing,Postprocesamiento
settings.visuals.minimap_size,Tamaño minimapa
settings.visuals.minimap_size.off,Apagado
settings.visuals.minimap_size.regular,Regular
settings.visuals.minimap_size.large,Grande
settings.visuals.minimap_size.enormous,Enorme
settings.visuals.minimap_pos,Posición del minimapa
settings.visuals.minimap_pos.top_left,Arriba a la izquierda
settings.visuals.minimap_pos.bottom_right,Abajo a la derecha
settings.visuals.minimap_pos.top,Parte superior
settings.visuals.minimap_pos.right,Derecha

# Settings -> Gameplay

settings.gameplay.show_tips,Mostrar recomendaciones
# FOR TRANSLATORS: Please translate as "Show Cutscenes (English Only)"
settings.gameplay.show_cutscenes,Mostrar escenas de corte
settings.gameplay.show_speech_bubbles,Mostrar burbujas de discurso
settings.gameplay.enable_censorship,Censura de palabras insultantes
settings.gameplay.peds_take_screenshots,Los peatones toman capturas de pantalla
settings.gameplay.post_to_discord,Publicar en discordia
settings.gameplay.camera_type,Cámara
settings.gameplay.camera_type.fixed_road,Camino fijo
settings.gameplay.camera_type.fixed_car,Coche fijo
settings.gameplay.camera_type.fixed_person,Persona fija
settings.gameplay.camera_type.floating,Flotante
settings.gameplay.camera_zoom,Zoom de cámara
settings.gameplay.camera_zoom.near,Cerca
settings.gameplay.camera_zoom.medium,Medio
settings.gameplay.camera_zoom.far,Lejos
settings.gameplay.speed_autozoom,Speed Autozoom
settings.gameplay.speed_autozoom_tip,Zoom automático dependiendo de la velocidad de tu auto
settings.gameplay.camera_shake,Vibración de la cámara
settings.gameplay.camera_shake.full,Completo
settings.gameplay.camera_shake.light,Ligero
settings.gameplay.camera_shake.off,Apagado
settings.gameplay.vibration,Vibración
settings.gameplay.run_in_background,Ejecutar en segundo plano
settings.gameplay.auto_lock_mouse,Ratón de bloqueo automático
settings.gameplay.auto_lock_mouse_tip,Si tiene una configuración de monitores múltiples y le gusta realizar múltiples tareas, puede deshabilitar el bloqueo del mouse. Después de cambiar esto, el juego requiere reiniciar.

# Settings -> Audio

settings.audio.master_volume,Volumen principal
settings.audio.menu_sounds,Sonidos de menú
settings.audio.menu_music,Menu Music
settings.audio.editor_music,Editor de música
settings.audio.race_music,Race Music
settings.audio.car_engine,Motor del coche
settings.audio.tire_skid,Patín de llanta
settings.audio.crowd_noise,Ruido de la muchedumbre
settings.audio.sound_fx,Sonido FX
settings.audio.btn.reset_to_defaults,Restablecer los valores predeterminados

# Settings -> Reset

settings.reset.btn.full_reset,Restablecimiento completo
settings.reset.btn.reset_tips,Restablecer consejos

# FOR TRASLATORS: Be very careful to not change text inside brackets (<br>, <size=50%> and such). It is one long line
settings.reset.about,Restablecimiento completo: <br><indent=10%><size=70%><br> - Eliminar todas las campañas <br> - Bloquear todos los autos <br> - Sal del juego de inmediato <br><indent=0%><size=100%><br> El reinicio completo no eliminará: <br><indent=10%><size=70%><br> - Logros <br> - Entradas de la tabla de clasificación <br> - Autos y pistas personalizados

# Main Menu button tooltips

main_menu.btn.tooltip.homepage,Página de Kodo Linija
main_menu.btn.tooltip.newsletter,Boletín informativo para desarrolladores
main_menu.btn.tooltip.dev_msg,Un mensaje del desarrollador
main_menu.btn.tooltip.campaign,Modo historia con pistas generadas aleatoriamente. ¡Juega para desbloquear autos nuevos!
main_menu.btn.tooltip.race,Ten una carrera rápida, una batalla de autos o supera los tiempos de vuelta de otros corredores en el modo Time Attack
main_menu.btn.tooltip.editors,Descarga pistas y autos hechos por otros jugadores, o crea y comparte el tuyo
main_menu.btn.tooltip.daily_challenge,Compite con otros jugadores por los mejores tiempos de vuelta diarios
main_menu.btn.tooltip.leaderboards,La gloria espera a quienes lleguen al Top 100
main_menu.btn.tooltip.achievements,Tengo que conseguirlos a todos
main_menu.btn.tooltip.quit.0,Nooo! ¡No hagas clic en este todavía! ¡Es la última opción en la lista por una razón!
main_menu.btn.tooltip.quit.1,¡Por favor, espera, podemos discutir esto!
main_menu.btn.tooltip.quit.2,¿Quizás 1 carrera más?
main_menu.btn.tooltip.quit.3,¿Estás seguro? Otras cosas pueden esperar ...
main_menu.btn.tooltip.quit.4,Cada vez que hace clic en este botón, un gnomo corta un cable aleatorio en su automóvil. No estamos bromeando!
main_menu.btn.tooltip.quit.5,Si hace clic en esto, SOFACT lo perdonará. Pero nunca lo olvidarán.
main_menu.btn.tooltip.quit.6,Haga clic aquí para autodestruir su computadora en 5 segundos.
main_menu.btn.tooltip.quit.7,¿Por qué tienes este botón seleccionado? ¡Hay tantos otros botones!
main_menu.btn.tooltip.quit.8,Estamos reteniendo a su gato como rehén. ¡Si hace clic en este botón, le daremos de comer su lasaña!
main_menu.btn.tooltip.quit.9,¿En serio? Tienes una vida

# About

about.btn.credits,Créditos
about.btn.how_to_play,Cómo jugar
about.btn.newsletter,Boletin informativo
about.btn.version,Versión
about.btn.privacy,Intimidad

# Version Check

version.updates_available,Actualizaciones disponibles
version.loading_now,Intentando cargar el registro de cambios desde la URL: <br> {0}
version.up_to_date,A hoy
version.latest,Última versión: {0}
version.current,Esta versión: {0}
version.check_failed,No se pudieron verificar las actualizaciones
version.check_failed_details,No se pudo obtener información de la versión o registro de cambios. <br><br> No hay conexión de red, la aplicación tiene firewall o el servidor está inactivo. <br><br> URL: <br> {0} <br><br> Error de detalles: <br> {1}
version.changelog_download_fail,Hay una versión más nueva. <br><br> Sin embargo, la descarga del registro de cambios ha fallado. <br><br> URL: <br> {0} <br><br> Error de detalles: <br> {1}
version.no_changes,No hay nuevos cambios o registro de cambios no actualizados:
version.new_changes,Nuevos cambios: {0}

################################################################################

# Campaign
campaign.play_time,Tiempo de juego: {0}

# Add Racer Menu

new_racer.title,Registrar nuevo corredor
new_racer.edit_title,Editar perfil de corredor
new_racer.racer_name,Nombre del corredor
new_racer.your_name,Tu nombre
new_racer.voice_pitch,Tono de voz
new_racer.controlled_by,Controlado por
new_racer.ai_skill,Habilidad AI
new_racer.choose_avatar,Elige avatar
new_racer.voice.low,{0:0}% bajo
new_racer.voice.high,{0:0}% alto
new_racer.voice.mid,Medio
new_racer.register,Registrarse
new_racer.dialogue.name_required,¡Se requiere el nombre!
new_racer.dialogue.name_taken,¡El nombre {0} ya lo ha tomado otro corredor!
new_racer.dialogue.confirm_remove,¿Seguro que quieres eliminar {0}?

# Select Avatar Menu

select_avatar.title,Seleccionar avatar

# Racer List Menu

season_lineup.title,Alineación de temporada
season_lineup.begin_season,Comenzar la temporada

# Generation Notice

gen.generating,Espere... <br> Generando
gen.loading,Espere... <br> Cargando

# Campaign Dashboard

dash.garage,Garaje
dash.no_car_warning,¡No tienes auto!
dash.btn.buy_car,Comprar un carro
dash.end_campaign,Fin de campaña
dash.end_season,Fin de temporada
dash.end_season.tip,Avance a la próxima temporada
dash.advance_week,Avanzar
dash.advance_week.tip,Avance a la próxima semana
dash.view_season,Ver temporada
dash.view_season.tip,Alternar resultados de temporada / semana
dash.press_x_to_select,Presione {0} para seleccionar
dash.flip_track_card.tip,Voltear la tarjeta de seguimiento
dash.btn.walk_on_foot,Caminar a pie
dash.btn.walk_on_foot.tip,Participa en la carrera como peatón (¡peligroso!)
dash.btn.save_track.tip,Guarde la pista para usarla en Carreras personalizadas o Editor de pistas
dash.btn.regenerate.tip,Regenerará la pista, si no te gusta la actual
# Verb
dash.btn.do_race,Carrera
dash.btn.do_retry,Procesar de nuevo
dash.give_5k,Dar $ 5000

# Keep short - abbreviate if necessary
dash.stage01,Etapa 01
dash.stage02,Etapa 02
dash.stage03,Etapa 03
dash.stage04,Etapa 04
dash.stage05,Etapa 05

# Keep short - abbreviate if necessary
dash.week1,Semana 1
dash.week2,Semana 2
dash.week3,Semana 3
dash.week4,Semana 4
dash.week5,Semana 5
dash.week6,Semana 6
dash.week7,Semana 7

dash.stage_rewards,Stage Rewards
dash.season_rewards,Recompensas de temporada
dash.next_season,Siguiente temporada
dash.game_over,Juego terminado
dash.buy_freedom,Comprar Freedom <br><size=75%> $ {0} </size>
dash.players,Jugadores
# It will be in a button, so could be just "All"
dash.all_racers,Todos los corredores

dash.maxed_out,Maxed Out
dash.req_lvl_short,Req lvl: {0}

dash.tip.add_1_lap,Añadir 1 vuelta
dash.tip.add_5_laps,Agregar 5 vueltas
dash.tip.reduce_1_lap,Reducir en 1 vuelta
dash.tip.reduce_5_laps,Reducir en 5 vueltas

dash.tip.workshop_item,Artículo de taller
dash.tip.rand_time_attack,Sesión de ataque de tiempo aleatorio
dash.tip.rand_race,Carrera rápida aleatoria en una ubicación única generada por procedimientos
dash.tip.rand_battle,Batalla aleatoria de coches con oponentes de IA en ubicaciones generadas por procedimientos
dash.tip.mark_tips_unseen,Marcará todos los consejos como no vistos
dash.tip.campaign_name_entry,Utilice el teclado o el botón Aleatorizar arriba
dash.tip.cloud_shadows_visible,Las sombras de las nubes seguirán siendo visibles.
dash.tip.not_affect_split_minimap,Esta configuración no afecta el minimapa de pantalla dividida
dash.tip.censorship,Mostrará #% $! en lugar de palabras potencialmente ofensivas
dash.tip.discord_post,Publique sus puntajes de clasificación y mods subidos en BRS Official Discord
dash.tip.upgrade_available,¡Actualización disponible!
dash.tip.voice_pitch_slider,Ajusta el tono de voz del diálogo de escena.
dash.tip.file_on_computer,Elige un archivo en tu computadora
dash.tip.player_num,Jugador {0}
dash.tip.ai_skill,Habilidad AI: {0:0}%
dash.tip.car_sprites_white,Cuando edite sprites, mantenga la carrocería blanca. Los trabajos de pintura son independientes del automóvil.
dash.tip.upload_car,Subir a Steam Workshop. ¡Asegúrese de haber configurado la velocidad máxima correcta en los parámetros antes de cargar!
dash.tip.reload_car,Úselo después de cambiar los sprites del auto fuera del juego
dash.tip.speed_index,Punto de referencia para la rapidez relativa
dash.tip.leaderboard_eligible,Esta pista es elegible para tener tablas de clasificación
dash.tip.ghost_replay_available,Ghost Replay está disponible
dash.tip.add_racer_btn,Agregar nuevo corredor (humano o IA)
dash.tip.show_track_leaderboards,Mostrar tablas de clasificación de pistas
dash.tip.new_race_session,Comienza una nueva sesión de carrera
dash.tip.race_weapons,Agregará zonas de armas a lo largo de la pista
dash.tip.0_racers,Elimina a todos los corredores excepto el jugador
dash.tip.add_1_rnd_racer,Añadir 1 corredor al azar
dash.tip.add_10_rnd_racers,Agrega 10 corredores al azar
dash.tip.rnd_gen_btn,Generará una pista de carreras al azar.

# Custom Race Dash

dash.set_for_everyone,Set para todos
dash.car,Coche
dash.racers,Corredores
dash.search_for_track,Buscar pista
dash.randomize_prompt,Haga clic en "Generar" <br> Para aleatorizar algunas pistas
dash.race_options,Opciones de carrera
dash.race_mode,Modo de carrera
dash.demo_mode,Modo de demostración
dash.demo_mode.tip,La IA conducirá en lugar del jugador
dash.opponent_skill,Habilidad del oponente
dash.start_race,Comenzar carrera
dash.race_in_x,Carrera en {0}
dash.battle_in_x,Batalla en {0}
dash.time_attack_in_x,Time Attack en {0}
dash.x_to_select,{0} para seleccionar
dash.add_player,Agregar jugador
dash.tracks_full_screen.tip,Alternar vista de pantalla completa

# Rewards

rew.car_unlock,Coche desbloqueado: {0}
rew.total_pts,Puntos totales
rew.dmg_taken,Daño recibido
rew.dmg_given,Daño dado
rew.unused_nitro,Nitro no utilizado
rew.corner_cut,Corte de esquinas
rew.good_photos,Fotos de calidad tomadas
rew.close_calls,Llamadas cercanas
rew.survival_bonus,Bonus de supervivencia
rew.place,{0} Lugar
rew.dnf,DNF
rew.pts,{0} pts
rew.ch.unknown,Desafío desconocido
rew.ch.success,ÉXITO: {0}
rew.ch.fail,FALLO: {0}
rew.lethal,Accidentes letales
rew.most_lethal,La mayoría de los accidentes letales
rew.frags,Frags
rew.jumps,Saltos de rampa
rew.longest_jump,Salto más largo
rew.drifts,Derivas
# Personal
rew.longest_drift,Deriva más larga
rew.most_drifts,La mayoría de las derivas
# Among everyone
rew.most_longest_drift,Deriva más larga
rew.level_up,Elevar a mismo nivel
rew.aero_up,Actualización Aero desbloqueada
rew.engine_up,Actualización del motor desbloqueada
rew.turbo_up,Actualización turbo desbloqueada
rew.gears_up,Actualización de transmisión desbloqueada
rew.grip_up,Mejora de agarre desbloqueada
rew.level_x,Nivel {0}
rew.paint_jobs,Nuevos trabajos de pintura desbloqueados

# Car Stats

# Keep these very short! Max 10 characters!
car.stat.speed_idx,Idx de velocidad
car.stat.top_speed,Velocidad máxima
car.stat.power,Poder
car.stat.mass,Masa
car.stat.health,Salud
car.stat.steering,Direccion
car.stat.grip,Apretón
car.stat.shift_time,Tiempo de cambio

# Car Upgrades

# Short version
car.upgrade.engine,Motor
car.upgrade.turbo,Turbo
car.upgrade.gears,Engranajes
car.upgrade.aero,Aero
car.upgrade.grip,Llantas

car.upgrade.engine.title,Actualización del motor
car.upgrade.turbo.title,Actualización de turbocompresor
car.upgrade.gears.title,Actualización de transmisión
car.upgrade.aero.title,Actualización aerodinámica
car.upgrade.grip.title,Mejora de agarre y manejo

car.upgrade.engine.tip,Agrega potencia bruta a tu motor
car.upgrade.turbo.tip,Hace que los aumentos de velocidad sean más efectivos
car.upgrade.gears.tip,Reduce el tiempo de cambio de marcha
car.upgrade.aero.tip,Mejora la velocidad máxima y el agarre
car.upgrade.grip.tip,Mejora el agarre y el manejo.

# Racer Profile

racer.last_races,Últimas carreras
racer.no_data,Sin datos
racer.level,Nivel de corredor
racer.races_attempted,Carreras Intentadas
racer.races_won,Carreras ganadas
racer.peds_hit,Peatones golpeados
racer.times_drifted,Tiempos Derivados

racer.title.rookie,Novato
racer.title.semi_pro,Semi Pro
racer.title.pro,Profesional
racer.title.veteran,Veterano
racer.title.master,Maestro
racer.title.grand_master,Gran maestro
racer.title.legend,Legendario
racer.title.epic,Épico

# Car Paint

paint.main_color,Color principal
paint.layer1,Capa de pintura 1
paint.layer2,Capa de pintura 2
paint.select_pattern,Seleccionar patrón
paint.change_color,Cambiar el color
paint.rotate_left,Girar a la izquierda
paint.rotate_right,Gira a la derecha
paint.zoom_out,Disminuir el zoom
paint.zoom_in,Acercarse
paint.reduce_opacity,Reducir la opacidad
paint.increase_opacity,Aumentar la opacidad
paint.move,Moverse
paint.remove_paint_layer,Eliminar capa de pintura
paint.open_custom_folder,Abra la carpeta del sistema operativo para trabajos de pintura personalizados

# Pedestrian Mode

ped.close_calls,Llamadas cercanas
ped.photos,Fotos
ped.good_photos,Buenas fotos
ped.earned_cash,Efectivo Ganado

# Race mode

race.paused.by,Pausado por {0}
race.you_have_a_challenge,Tienes un reto
race.btn.exit,Carrera de salida
race.btn.exit_desktop,Salir al escritorio
race.btn.restart,Reiniciar
race.btn.photo_mode,Modo de foto
race.btn.speed_up,Acelerar
race.btn.end,Carrera final
race.finished,Carrera terminada
race.waiting,Esperando ({0:0} s)

# Battle mode

battle.finished,Batalla completa

# Input Actions

act.UIHorizontal,Navegación horizontal
act.UIVertical,Navegación vertical
act.UISubmit,Enviar
act.UICancel,Cancelar
act.ShowTutorial,Mostrar sugerencia
act.UICycleNext,Ciclo siguiente
act.UICyclePrev,Ciclo anterior
act.UIPlayerNext,Próximo jugador
act.UIPlayerPrev,Jugador anterior

act.Steer,Dirigir
act.Accelerate,Acelerar
act.Brake,Freno
act.Pause,Pausa
act.Camera,Cambiar cámara
act.Handbrake,Freno de mano
act.ResetCar,Restablecer auto
act.Zoom,Alternar zoom
act.Nitro,Nitro
act.Fire,Arma de fuego
act.DropWeapon,Soltar arma

act.EditorZoom,Enfocar
act.RotateObject,Girar objeto
act.HorizontalPan,Horizontal Pan
act.VerticalPan,Pan vertical
act.PlaceObject,Colocar objeto
act.CancelAction,Cancelar acción
act.Undo,Deshacer
act.Redo,Listo
act.CopyModifier,Copiar editar
